Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Comment	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly barcode
ESC_PA1644AA	ERL053130	SRR7644814;ILLUMINA;Paired;;SRX4508195;SRA	Livestock	Bovine	Bos taurus; bovine	2005				Oceania	New Zealand	Canterbury	Ashburton District			-43.53	172.616	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765893	SRS3628130	2019-11-18	2019-08-01	ESC_PA1644AA	Assembled	169	188191	5415550	Escherichia coli / Shigella;99.13%	195	28174	4.1	ESC_GB6369AA_AS
ESC_PA1645AA	ERL053260	SRR7644815;ILLUMINA;Paired;;SRX4508194;SRA	Livestock	Bovine	Bos taurus; bovine	2005				Oceania	New Zealand	Waikato	South Waikato District			-40.388	175.617	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765894	SRS3628132	2019-11-18	2019-08-01	ESC_PA1645AA	Assembled	176	184325	5432441	Escherichia coli / Shigella;99.11%	186	77913	4.1	ESC_GB6368AA_AS
ESC_PA1646AA	ERL052349	SRR7644816;ILLUMINA;Paired;;SRX4508193;SRA	Human	Human	Homo sapiens; human	2005				Oceania	New Zealand	Waikato	South Waikato District			-40.388	175.617	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765891	SRS3628126	2019-11-18	2019-08-01	ESC_PA1646AA	Assembled	245	160590	5514276	Escherichia coli / Shigella;99.25%	264	41950	4.1	ESC_GB6367AA_AS
ESC_PA1647AA	ERL052493	SRR7644817;ILLUMINA;Paired;;SRX4508192;SRA	Livestock	Bovine	Bos taurus; bovine	2005				Oceania	New Zealand	Waikato	South Waikato District			-40.388	175.617	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765892	SRS3628124	2019-11-18	2019-08-01	ESC_PA1647AA	Assembled	149	160592	5292525	Escherichia coli / Shigella;99.08%	198	29447	4.1	ESC_GB6366AA_AS
ESC_PA1648AA	ERL05625	SRR7644818;ILLUMINA;Paired;;SRX4508191;SRA	Human	Human	Homo sapiens; human	2005				Oceania	New Zealand	Canterbury	Ashburton District			-43.53	172.616	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765899	SRS3628125	2019-11-18	2019-08-01	ESC_PA1648AA	Assembled	242	184325	5478166	Escherichia coli / Shigella;99.14%	217	32921	4.1	ESC_GB6365AA_AS
ESC_PA1649AA	ERL060726	SRR7644819;ILLUMINA;Paired;;SRX4508190;SRA	Human	Human	Homo sapiens; human	2006				Oceania	New Zealand	Canterbury	Ashburton District			-43.53	172.616	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765900	SRS3628117	2019-11-18	2019-08-01	ESC_PA1649AA	Assembled	133	179906	5446396	Escherichia coli / Shigella;100.0%	286	53925	4.1	ESC_GB6364AA_AS
ESC_PA1650AA	ERL11411	SRR7644820;ILLUMINA;Paired;;SRX4508189;SRA	Human	Human	Homo sapiens; human	2011				Oceania	New Zealand	Waikato	South Waikato District			-40.388	175.617	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765970	SRS3628123	2019-11-18	2019-08-01	ESC_PA1650AA	Assembled	130	149135	5512341	Escherichia coli / Shigella;99.27%	274	71318	4.1	ESC_GB6363AA_AS
ESC_PA1651AA	ERL113692	SRR7644821;ILLUMINA;Paired;;SRX4508188;SRA	Human	Human	Homo sapiens; human	2011				Oceania	New Zealand	Canterbury	Ashburton District			-43.53	172.616	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765969	SRS3628121	2019-11-18	2019-08-01	ESC_PA1651AA	Assembled	155	163591	5600750	Escherichia coli / Shigella;100.0%	244	50541	4.1	ESC_GB6362AA_AS
ESC_PA1652AA	ERL112886	SRR7644822;ILLUMINA;Paired;;SRX4508187;SRA	Livestock	Bovine	Bos taurus; bovine	2011				Oceania	New Zealand	Canterbury	Ashburton District			-43.53	172.616	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765968	SRS3628122	2019-11-18	2019-08-01	ESC_PA1652AA	Assembled	110	201738	5423664	Escherichia coli / Shigella;99.1%	210	36857	4.1	ESC_GB6361AA_AS
ESC_PA1653AA	ERL112838	SRR7644823;ILLUMINA;Paired;;SRX4508186;SRA	Human	Human	Homo sapiens; human	2011				Oceania	New Zealand	Canterbury	Ashburton District			-43.53	172.616	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765967	SRS3628119	2019-11-18	2019-08-01	ESC_PA1653AA	Assembled	324	151733	5490812	Escherichia coli / Shigella;100.0%	252	42861	4.1	ESC_GB6360AA_AS
ESC_PA1654AA	ERL112652	SRR7644824;ILLUMINA;Paired;;SRX4508185;SRA	Livestock	Bovine	Bos taurus; bovine	2011				Oceania	New Zealand	Canterbury	Ashburton District			-43.53	172.616	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765966	SRS3628116	2019-11-18	2019-08-01	ESC_PA1654AA	Assembled	140	148495	5381409	Escherichia coli / Shigella;100.0%	227	37685	4.1	ESC_GB6359AA_AS
ESC_PA1655AA	ERL112437	SRR7644825;ILLUMINA;Paired;;SRX4508184;SRA	Livestock	Bovine	Bos taurus; bovine	2011				Oceania	New Zealand	Waikato	South Waikato District			-40.388	175.617	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765965	SRS3628120	2019-11-18	2019-08-01	ESC_PA1655AA	Assembled	122	200000	5394135	Escherichia coli / Shigella;100.0%	227	34436	4.1	ESC_GB6358AA_AS
ESC_PA1656AA	ERL111881	SRR7644826;ILLUMINA;Paired;;SRX4508183;SRA	Human	Human	Homo sapiens; human	2011				Oceania	New Zealand	Waikato	South Waikato District			-40.388	175.617	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765964	SRS3628118	2019-11-18	2019-08-01	ESC_PA1656AA	Assembled	276	168981	5408025	Escherichia coli / Shigella;99.3%	274	37792	4.1	ESC_GB6357AA_AS
ESC_PA1657AA	ERL111878	SRR7644827;ILLUMINA;Paired;;SRX4508182;SRA	Human	Human	Homo sapiens; human	2011				Oceania	New Zealand	Waikato	South Waikato District			-40.388	175.617	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765963	SRS3628115	2019-11-18	2019-08-01	ESC_PA1657AA	Assembled	166	149719	5527080	Escherichia coli / Shigella;99.25%	256	45716	4.1	ESC_GB6356AA_AS
ESC_PA1658AA	ERL111514	SRR7644828;ILLUMINA;Paired;;SRX4508181;SRA	Human	Human	Homo sapiens; human	2011				Oceania	New Zealand	Canterbury	Ashburton District			-43.53	172.616	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765962	SRS3628114	2019-11-18	2019-08-01	ESC_PA1658AA	Assembled	245	156570	5455407	Escherichia coli / Shigella;99.31%	276	47129	4.1	ESC_GB6355AA_AS
ESC_PA1659AA	ERL11105	SRR7644829;ILLUMINA;Paired;;SRX4508180;SRA	Human	Human	Homo sapiens; human	2011				Oceania	New Zealand	Waikato	South Waikato District			-40.388	175.617	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765961	SRS3628113	2019-11-18	2019-08-01	ESC_PA1659AA	Assembled	253	156570	5388540	Escherichia coli / Shigella;99.21%	234	29521	4.1	ESC_GB6354AA_AS
ESC_PA1660AA	ERL102113	SRR7644830;ILLUMINA;Paired;;SRX4508179;SRA	Human	Human	Homo sapiens; human	2010				Oceania	New Zealand	Waikato	South Waikato District			-40.388	175.617	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765953	SRS3628110	2019-11-18	2019-08-01	ESC_PA1660AA	Assembled	57	183602	5398721	Escherichia coli / Shigella;100.0%	257	38975	4.1	ESC_GB6353AA_AS
ESC_PA1661AA	ERL063112	SRR7644831;ILLUMINA;Paired;;SRX4508178;SRA	Livestock	Bovine	Bos taurus; bovine	2006				Oceania	New Zealand	Waikato	South Waikato District			-40.388	175.617	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765904	SRS3628112	2019-11-18	2019-08-01	ESC_PA1661AA	Assembled	142	184325	5434952	Escherichia coli / Shigella;99.19%	230	34212	4.1	ESC_GB6352AA_AS
ESC_PA1662AA	ERL06287	SRR7644832;ILLUMINA;Paired;;SRX4508177;SRA	Human	Human	Homo sapiens; human	2006				Oceania	New Zealand	Waikato	South Waikato District			-40.388	175.617	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765903	SRS3628109	2019-11-18	2019-08-01	ESC_PA1662AA	Assembled	230	156570	5512330	Escherichia coli / Shigella;100.0%	218	33321	4.1	ESC_GB6351AA_AS
ESC_PA1663AA	ERL062494	SRR7644833;ILLUMINA;Paired;;SRX4508176;SRA	Livestock	Bovine	Bos taurus; bovine	2006				Oceania	New Zealand	Waikato	South Waikato District			-40.388	175.617	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765902	SRS3628111	2019-11-18	2019-08-01	ESC_PA1663AA	Assembled	167	184325	5448791	Escherichia coli / Shigella;99.16%	216	37444	4.1	ESC_GB6350AA_AS
ESC_PA1664AA	ERL061626	SRR7644834;ILLUMINA;Paired;;SRX4508175;SRA	Human	Human	Homo sapiens; human	2006				Oceania	New Zealand	Waikato	South Waikato District			-40.388	175.617	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765901	SRS3628108	2019-11-18	2019-08-01	ESC_PA1664AA	Assembled	288	182802	5369721	Escherichia coli / Shigella;100.0%	263	69712	4.1	ESC_GB6349AA_AS
ESC_PA1665AA	ERL063513	SRR7644835;ILLUMINA;Paired;;SRX4508174;SRA	Livestock	Bovine	Bos taurus; bovine	2006				Oceania	New Zealand	Waikato	South Waikato District			-40.388	175.617	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765908	SRS3628107	2019-11-18	2019-08-01	ESC_PA1665AA	Assembled	142	146888	5530843	Escherichia coli / Shigella;99.26%	241	39906	4.1	ESC_GB6348AA_AS
ESC_PA1666AA	ERL063358	SRR7644836;ILLUMINA;Paired;;SRX4508173;SRA	Human	Human	Homo sapiens; human	2006				Oceania	New Zealand	Canterbury	Ashburton District			-43.53	172.616	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765907	SRS3628106	2019-11-18	2019-08-01	ESC_PA1666AA	Assembled	241	184325	5411846	Escherichia coli / Shigella;99.1%	217	25235	4.1	ESC_GB6347AA_AS
ESC_PA1667AA	ERL063151	SRR7644837;ILLUMINA;Paired;;SRX4508172;SRA	Livestock	Bovine	Bos taurus; bovine	2006				Oceania	New Zealand	Canterbury	Ashburton District			-43.53	172.616	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765906	SRS3628140	2019-11-18	2019-08-01	ESC_PA1667AA	Assembled	130	188415	5357029	Escherichia coli / Shigella;100.0%	229	41467	4.1	ESC_GB6346AA_AS
ESC_PA1668AA	ERL063117	SRR7644838;ILLUMINA;Paired;;SRX4508171;SRA	Livestock	Bovine	Bos taurus; bovine	2006				Oceania	New Zealand	Canterbury	Ashburton District			-43.53	172.616	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765905	SRS3628105	2019-11-18	2019-08-01	ESC_PA1668AA	Assembled	155	146647	5397827	Escherichia coli / Shigella;99.14%	215	41205	4.1	ESC_GB6345AA_AS
ESC_PA1669AA	ERL064361	SRR7644839;ILLUMINA;Paired;;SRX4508170;SRA	Human	Human	Homo sapiens; human	2006				Oceania	New Zealand	Waikato	South Waikato District			-40.388	175.617	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765910	SRS3628104	2019-11-18	2019-08-01	ESC_PA1669AA	Assembled	124	201738	5472163	Escherichia coli / Shigella;99.04%	170	32334	4.1	ESC_GB6344AA_AS
ESC_PA1670AA	ERL063581	SRR7644840;ILLUMINA;Paired;;SRX4508169;SRA	Livestock	Bovine	Bos taurus; bovine	2006				Oceania	New Zealand	Canterbury	Ashburton District			-43.53	172.616	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765909	SRS3628103	2019-11-18	2019-08-01	ESC_PA1670AA	Assembled	173	184329	5379323	Escherichia coli / Shigella;98.96%	178	30559	4.1	ESC_GB6343AA_AS
ESC_PA1671AA	ERL102267	SRR7644841;ILLUMINA;Paired;;SRX4508168;SRA	Livestock	Bovine	Bos taurus; bovine	2010				Oceania	New Zealand	Canterbury	Ashburton District			-43.53	172.616	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765954	SRS3628098	2019-11-18	2019-08-01	ESC_PA1671AA	Assembled	224	151733	5336235	Escherichia coli / Shigella;100.0%	196	43584	4.1	ESC_GB6342AA_AS
ESC_PA1672AA	H14ER913	SRR7644842;ILLUMINA;Paired;;SRX4508167;SRA	Human	Human	Homo sapiens; human	2014				Oceania	New Zealand	Waikato	South Waikato District			-40.388	175.617	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765999	SRS3628096	2019-11-18	2019-08-01	ESC_PA1672AA	Assembled	189	184268	5470702	Escherichia coli / Shigella;100.0%	217	37085	4.1	ESC_GB6341AA_AS
ESC_PA1673AA	h160a	SRR7644843;ILLUMINA;Paired;;SRX4508166;SRA	Livestock	Bovine	Bos taurus; bovine	2011				Oceania	New Zealand	Waikato	South Waikato District			-40.388	175.617	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09766000	SRS3628097	2019-11-18	2019-08-01	ESC_PA1673AA	Assembled	199	146963	5447628	Escherichia coli / Shigella;99.23%	243	31763	4.1	ESC_GB6340AA_AS
ESC_PA1674AA	H13ESR2556	SRR7644844;ILLUMINA;Paired;;SRX4508165;SRA	Livestock	Bovine	Bos taurus; bovine	2013				Oceania	New Zealand	Canterbury	Ashburton District			-43.53	172.616	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765993	SRS3628102	2019-11-18	2019-08-01	ESC_PA1674AA	Assembled	143	244812	5424384	Escherichia coli / Shigella;100.0%	248	45463	4.1	ESC_GB6339AA_AS
ESC_PA1675AA	H14ER1075	SRR7644845;ILLUMINA;Paired;;SRX4508164;SRA	Human	Human	Homo sapiens; human	2014				Oceania	New Zealand	Canterbury	Ashburton District			-43.53	172.616	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765994	SRS3628095	2019-11-18	2019-08-01	ESC_PA1675AA	Assembled	142	160592	5433407	Escherichia coli / Shigella;99.11%	198	29932	4.1	ESC_GB6338AA_AS
ESC_PA1676AA	H13ESR2208	SRR7644846;ILLUMINA;Paired;;SRX4508163;SRA	Livestock	Bovine	Bos taurus; bovine	2013				Oceania	New Zealand	Waikato	South Waikato District			-40.388	175.617	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765991	SRS3628094	2019-11-18	2019-08-01	ESC_PA1676AA	Assembled	133	236402	5418261	Escherichia coli / Shigella;100.0%	248	41832	4.1	ESC_GB6337AA_AS
ESC_PA1677AA	H13ESR2383	SRR7644847;ILLUMINA;Paired;;SRX4508162;SRA	Human	Human	Homo sapiens; human	2013				Oceania	New Zealand	Waikato	South Waikato District			-40.388	175.617	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765992	SRS3628093	2019-11-18	2019-08-01	ESC_PA1677AA	Assembled	227	236402	5396224	Escherichia coli / Shigella;100.0%	231	41098	4.1	ESC_GB6336AA_AS
ESC_PA1678AA	H14ER1346	SRR7644848;ILLUMINA;Paired;;SRX4508161;SRA	Human	Human	Homo sapiens; human	2014				Oceania	New Zealand	Waikato	South Waikato District			-40.388	175.617	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765997	SRS3628092	2019-11-18	2019-08-01	ESC_PA1678AA	Assembled	152	184325	5441922	Escherichia coli / Shigella;99.13%	215	38754	4.1	ESC_GB6335AA_AS
ESC_PA1679AA	H14ER519	SRR7644849;ILLUMINA;Paired;;SRX4508160;SRA	Human	Human	Homo sapiens; human	2014				Oceania	New Zealand	Canterbury	Ashburton District			-43.53	172.616	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765998	SRS3628091	2019-11-18	2019-08-01	ESC_PA1679AA	Assembled	177	157556	5533510	Escherichia coli / Shigella;99.18%	213	34983	4.1	ESC_GB6334AA_AS
ESC_PA1680AA	H14ER115	SRR7644850;ILLUMINA;Paired;;SRX4508159;SRA	Human	Human	Homo sapiens; human	2014				Oceania	New Zealand	Canterbury	Ashburton District			-43.53	172.616	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765995	SRS3628088	2019-11-18	2019-08-01	ESC_PA1680AA	Assembled	226	252314	5506576	Escherichia coli / Shigella;99.25%	253	45478	4.1	ESC_GB6333AA_AS
ESC_PA1681AA	H14ER1245	SRR7644851;ILLUMINA;Paired;;SRX4508158;SRA	Human	Human	Homo sapiens; human	2014				Oceania	New Zealand	Waikato	South Waikato District			-40.388	175.617	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765996	SRS3628090	2019-11-18	2019-08-01	ESC_PA1681AA	Assembled	220	160592	5471368	Escherichia coli / Shigella;100.0%	232	40815	4.1	ESC_GB6332AA_AS
ESC_PA1683AA	H13ESR1331	SRR7644853;ILLUMINA;Paired;;SRX4508156;SRA	Human	Human	Homo sapiens; human	2013				Oceania	New Zealand	Canterbury	Ashburton District			-43.53	172.616	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765990	SRS3628087	2019-11-18	2019-08-01	ESC_PA1683AA	Assembled	246	160592	5337424	Escherichia coli / Shigella;100.0%	204	30941	4.1	ESC_GB6330AA_AS
ESC_PA1684AA	H13ESR02152	SRR7644854;ILLUMINA;Paired;;SRX4508155;SRA	Livestock	Bovine	Bos taurus; bovine	2013				Oceania	New Zealand	Canterbury	Ashburton District			-43.53	172.616	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765989	SRS3628085	2019-11-18	2019-08-01	ESC_PA1684AA	Assembled	163	184267	5418286	Escherichia coli / Shigella;100.0%	232	46611	4.1	ESC_GB6329AA_AS
ESC_PA1685AA	H12ESR3802	SRR7644855;ILLUMINA;Paired;;SRX4508154;SRA	Livestock	Bovine	Bos taurus; bovine	2012				Oceania	New Zealand	Canterbury	Ashburton District			-43.53	172.616	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765982	SRS3628086	2019-11-18	2019-08-01	ESC_PA1685AA	Assembled	128	188191	5461558	Escherichia coli / Shigella;99.25%	274	31915	4.1	ESC_GB6328AA_AS
ESC_PA1686AA	H12ESR3003	SRR7644856;ILLUMINA;Paired;;SRX4508153;SRA	Livestock	Bovine	Bos taurus; bovine	2012				Oceania	New Zealand	Waikato	South Waikato District			-40.388	175.617	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765981	SRS3628084	2019-11-18	2019-08-01	ESC_PA1686AA	Assembled	124	252773	5358489	Escherichia coli / Shigella;99.04%	218	27887	4.1	ESC_GB6327AA_AS
ESC_PA1688AA	H12ESR3850	SRR7644858;ILLUMINA;Paired;;SRX4508151;SRA	Livestock	Bovine	Bos taurus; bovine	2012				Oceania	New Zealand	Waikato	South Waikato District			-40.388	175.617	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765983	SRS3628081	2019-11-18	2019-08-01	ESC_PA1688AA	Assembled	122	184325	5496493	Escherichia coli / Shigella;100.0%	234	32288	4.1	ESC_GB6325AA_AS
