"Uberstrain","ST_Country","N_human_e.coli_shigella","N_bovine_e.coli_shigella","N_swine_e.coli_shigella","N_poultry_e.coli_shigella","N_dog_e.coli_shigella","N_water_e.coli_shigella","Name.x","Barcode.x","Data.Source.Accession.No..Sequencing.Platform.Sequencing.Library.Insert.Size.Experiment.Status.","Source.Niche","Source.Type","Source.Details","Collection.Year","Collection.Month","Collection.Day","Collection.Time","Continent.x","Country.x","Region.x","District.x","City.x","Post.Code","Latitude.x","Longitude.x","Lab.Contact","Species.x","Serological.Group","Serotype.x","EcoR.Cluster","Path.Nonpath","Simple.Patho","Comment.x","Simple.Disease","Bio.Project.ID","Project.ID","Disease.x","Sample.ID","Secondary.Sample.ID","Date.Entered","Release.Date","Differences","ST","ST.Complex","Lineage","Subspecies","adk","fumC","gyrB","icd","mdh","purA","recA","is_common_ST","is_common_country","is_bovine","is_swine","is_poultry","is_human","is_human2","is_dog","is_water","is_concerned_host","Name.y","Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)","Source Niche","Source Type","Source Details","Collection Year","Collection Month","Collection Day","Collection Time","Continent.y","Country.y","Region.y","District.y","City.y","Post Code","Latitude.y","Longitude.y","Lab Contact","Species.y","Serological Group","Serotype.y","EcoR Cluster","Path/Nonpath","Simple Patho","Simple Disease","Comment.y","Bio Project ID","Project ID","Disease.y","Sample ID","Secondary Sample ID","Date Entered","Release Date","Barcode.y","Status","Coverage","N50","Length","Contig Number(>=200 bp)","Low Quality Bases","Version","Assembly barcode"
"ESC_PA1641AA","11_New Zealand",77,80,1,0,0,1,"ERL05623","ESC_PA1641AA","SRR7644811;ILLUMINA;Paired;;SRX4508198;SRA","Livestock","Bovine","Bos taurus; bovine",2005,NA,NA,"","Oceania","New Zealand","Canterbury","Ashburton District","","",-43.53,172.616,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765898","SRS3628127","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","ERL05623","SRR7644811;ILLUMINA;Paired;;SRX4508198;SRA","Livestock","Bovine","Bos taurus; bovine",2005,NA,NA,NA,"Oceania","New Zealand","Canterbury","Ashburton District",NA,NA,-43.53,172.616,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765898","SRS3628127",2019-11-18,2019-08-01,"ESC_PA1641AA","Assembled",144,160592,5351296,220,39180,4.1,"ESC_GB6372AA_AS"
"ESC_PA1642AA","11_New Zealand",77,80,1,0,0,1,"ERL053299","ESC_PA1642AA","SRR7644812;ILLUMINA;Paired;;SRX4508197;SRA","Human","Human","Homo sapiens; human",2005,NA,NA,"","Oceania","New Zealand","Canterbury","Ashburton District","","",-43.53,172.616,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765895","SRS3628131","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","ERL053299","SRR7644812;ILLUMINA;Paired;;SRX4508197;SRA","Human","Human","Homo sapiens; human",2005,NA,NA,NA,"Oceania","New Zealand","Canterbury","Ashburton District",NA,NA,-43.53,172.616,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765895","SRS3628131",2019-11-18,2019-08-01,"ESC_PA1642AA","Assembled",193,184545,5406252,239,36843,4.1,"ESC_GB6371AA_AS"
"ESC_PA1644AA","11_New Zealand",77,80,1,0,0,1,"ERL053130","ESC_PA1644AA","SRR7644814;ILLUMINA;Paired;;SRX4508195;SRA","Livestock","Bovine","Bos taurus; bovine",2005,NA,NA,"","Oceania","New Zealand","Canterbury","Ashburton District","","",-43.53,172.616,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765893","SRS3628130","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","ERL053130","SRR7644814;ILLUMINA;Paired;;SRX4508195;SRA","Livestock","Bovine","Bos taurus; bovine",2005,NA,NA,NA,"Oceania","New Zealand","Canterbury","Ashburton District",NA,NA,-43.53,172.616,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765893","SRS3628130",2019-11-18,2019-08-01,"ESC_PA1644AA","Assembled",169,188191,5415550,195,28174,4.1,"ESC_GB6369AA_AS"
"ESC_PA1645AA","11_New Zealand",77,80,1,0,0,1,"ERL053260","ESC_PA1645AA","SRR7644815;ILLUMINA;Paired;;SRX4508194;SRA","Livestock","Bovine","Bos taurus; bovine",2005,NA,NA,"","Oceania","New Zealand","Waikato","South Waikato District","","",-40.388,175.617,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765894","SRS3628132","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","ERL053260","SRR7644815;ILLUMINA;Paired;;SRX4508194;SRA","Livestock","Bovine","Bos taurus; bovine",2005,NA,NA,NA,"Oceania","New Zealand","Waikato","South Waikato District",NA,NA,-40.388,175.617,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765894","SRS3628132",2019-11-18,2019-08-01,"ESC_PA1645AA","Assembled",176,184325,5432441,186,77913,4.1,"ESC_GB6368AA_AS"
"ESC_PA1646AA","11_New Zealand",77,80,1,0,0,1,"ERL052349","ESC_PA1646AA","SRR7644816;ILLUMINA;Paired;;SRX4508193;SRA","Human","Human","Homo sapiens; human",2005,NA,NA,"","Oceania","New Zealand","Waikato","South Waikato District","","",-40.388,175.617,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765891","SRS3628126","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","ERL052349","SRR7644816;ILLUMINA;Paired;;SRX4508193;SRA","Human","Human","Homo sapiens; human",2005,NA,NA,NA,"Oceania","New Zealand","Waikato","South Waikato District",NA,NA,-40.388,175.617,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765891","SRS3628126",2019-11-18,2019-08-01,"ESC_PA1646AA","Assembled",245,160590,5514276,264,41950,4.1,"ESC_GB6367AA_AS"
"ESC_PA1647AA","11_New Zealand",77,80,1,0,0,1,"ERL052493","ESC_PA1647AA","SRR7644817;ILLUMINA;Paired;;SRX4508192;SRA","Livestock","Bovine","Bos taurus; bovine",2005,NA,NA,"","Oceania","New Zealand","Waikato","South Waikato District","","",-40.388,175.617,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765892","SRS3628124","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","ERL052493","SRR7644817;ILLUMINA;Paired;;SRX4508192;SRA","Livestock","Bovine","Bos taurus; bovine",2005,NA,NA,NA,"Oceania","New Zealand","Waikato","South Waikato District",NA,NA,-40.388,175.617,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765892","SRS3628124",2019-11-18,2019-08-01,"ESC_PA1647AA","Assembled",149,160592,5292525,198,29447,4.1,"ESC_GB6366AA_AS"
"ESC_PA1648AA","11_New Zealand",77,80,1,0,0,1,"ERL05625","ESC_PA1648AA","SRR7644818;ILLUMINA;Paired;;SRX4508191;SRA","Human","Human","Homo sapiens; human",2005,NA,NA,"","Oceania","New Zealand","Canterbury","Ashburton District","","",-43.53,172.616,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765899","SRS3628125","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","ERL05625","SRR7644818;ILLUMINA;Paired;;SRX4508191;SRA","Human","Human","Homo sapiens; human",2005,NA,NA,NA,"Oceania","New Zealand","Canterbury","Ashburton District",NA,NA,-43.53,172.616,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765899","SRS3628125",2019-11-18,2019-08-01,"ESC_PA1648AA","Assembled",242,184325,5478166,217,32921,4.1,"ESC_GB6365AA_AS"
"ESC_PA1649AA","11_New Zealand",77,80,1,0,0,1,"ERL060726","ESC_PA1649AA","SRR7644819;ILLUMINA;Paired;;SRX4508190;SRA","Human","Human","Homo sapiens; human",2006,NA,NA,"","Oceania","New Zealand","Canterbury","Ashburton District","","",-43.53,172.616,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765900","SRS3628117","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","ERL060726","SRR7644819;ILLUMINA;Paired;;SRX4508190;SRA","Human","Human","Homo sapiens; human",2006,NA,NA,NA,"Oceania","New Zealand","Canterbury","Ashburton District",NA,NA,-43.53,172.616,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765900","SRS3628117",2019-11-18,2019-08-01,"ESC_PA1649AA","Assembled",133,179906,5446396,286,53925,4.1,"ESC_GB6364AA_AS"
"ESC_PA1650AA","11_New Zealand",77,80,1,0,0,1,"ERL11411","ESC_PA1650AA","SRR7644820;ILLUMINA;Paired;;SRX4508189;SRA","Human","Human","Homo sapiens; human",2011,NA,NA,"","Oceania","New Zealand","Waikato","South Waikato District","","",-40.388,175.617,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765970","SRS3628123","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","ERL11411","SRR7644820;ILLUMINA;Paired;;SRX4508189;SRA","Human","Human","Homo sapiens; human",2011,NA,NA,NA,"Oceania","New Zealand","Waikato","South Waikato District",NA,NA,-40.388,175.617,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765970","SRS3628123",2019-11-18,2019-08-01,"ESC_PA1650AA","Assembled",130,149135,5512341,274,71318,4.1,"ESC_GB6363AA_AS"
"ESC_PA1651AA","11_New Zealand",77,80,1,0,0,1,"ERL113692","ESC_PA1651AA","SRR7644821;ILLUMINA;Paired;;SRX4508188;SRA","Human","Human","Homo sapiens; human",2011,NA,NA,"","Oceania","New Zealand","Canterbury","Ashburton District","","",-43.53,172.616,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765969","SRS3628121","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","ERL113692","SRR7644821;ILLUMINA;Paired;;SRX4508188;SRA","Human","Human","Homo sapiens; human",2011,NA,NA,NA,"Oceania","New Zealand","Canterbury","Ashburton District",NA,NA,-43.53,172.616,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765969","SRS3628121",2019-11-18,2019-08-01,"ESC_PA1651AA","Assembled",155,163591,5600750,244,50541,4.1,"ESC_GB6362AA_AS"
