"assembly_barcode","source_type","species","ST"
"ESC_HC5602AA_AS","Human","Escherichia coli",131
"ESC_HC5785AA_AS","Human","Escherichia coli",131
"ESC_HC5787AA_AS","Human","Escherichia coli",131
"ESC_HC5790AA_AS","Human","Escherichia coli",131
"ESC_HC8696AA_AS","Human","Escherichia coli",131
"ESC_KA8795AA_AS","Human","Escherichia coli",131
"ESC_BB9014AA_AS","Human","Escherichia coli",131
"ESC_LA3505AA_AS","Swine","Escherichia coli",131
"ESC_LA3504AA_AS","Avian","Escherichia coli",131
"ESC_LA3901AA_AS","Water/River","Escherichia coli",131
"ESC_LA3900AA_AS","Human","Escherichia coli",131
"ESC_MA2726AA_AS","Avian","Escherichia coli",131
"ESC_LA3497AA_AS","Human","Escherichia coli",131
"ESC_MA2725AA_AS","Human","Escherichia coli",131
"ESC_MA2724AA_AS","Avian","Escherichia coli",131
"ESC_MA2723AA_AS","Human","Escherichia coli",131
"ESC_MA2722AA_AS","Human","Escherichia coli",131
"ESC_MA2720AA_AS","Human","Escherichia coli",131
"ESC_MA2719AA_AS","Human","Escherichia coli",131
"ESC_MA2718AA_AS","Human","Escherichia coli",131
"ESC_MA2715AA_AS","Avian","Escherichia coli",131
"ESC_MA2714AA_AS","Human","Escherichia coli",131
"ESC_MA2713AA_AS","Bovine","Escherichia coli",131
"ESC_LA3480AA_AS","Human","Escherichia coli",131
"ESC_LA3479AA_AS","Human","Escherichia coli",131
"ESC_LA3475AA_AS","Avian","Escherichia coli",131
"ESC_LA3474AA_AS","Avian","Escherichia coli",131
"ESC_LA3473AA_AS","Water/River","Escherichia coli",131
"ESC_LA3472AA_AS","Water/River","Escherichia coli",131
"ESC_LA3471AA_AS","Human","Escherichia coli",131
"ESC_LA3466AA_AS","Human","Escherichia coli",131
"ESC_LA3464AA_AS","Human","Escherichia coli",131
"ESC_LA3462AA_AS","Human","Escherichia coli",131
"ESC_LA3459AA_AS","Human","Escherichia coli",131
"ESC_LA3458AA_AS","Human","Escherichia coli",131
"ESC_LA3457AA_AS","Human","Escherichia coli",131
"ESC_LA3455AA_AS","Human","Escherichia coli",131
"ESC_LA3452AA_AS","Human","Escherichia coli",131
"ESC_LA3451AA_AS","Human","Escherichia coli",131
"ESC_LA3450AA_AS","Human","Escherichia coli",131
"ESC_LA3448AA_AS","Water/River","Escherichia coli",131
"ESC_LA3442AA_AS","Avian","Escherichia coli",131
"ESC_LA3439AA_AS","Human","Escherichia coli",131
"ESC_LA3438AA_AS","Bovine","Escherichia coli",131
"ESC_LA3437AA_AS","Bovine","Escherichia coli",131
"ESC_LA3436AA_AS","Bovine","Escherichia coli",131
"ESC_LA3432AA_AS","Human","Escherichia coli",131
"ESC_LA3431AA_AS","Human","Escherichia coli",131
"ESC_LA3430AA_AS","Human","Escherichia coli",131
"ESC_LA3428AA_AS","Swine","Escherichia coli",131
"ESC_LA3426AA_AS","Swine","Escherichia coli",131
"ESC_LA3425AA_AS","Human","Escherichia coli",131
"ESC_LA3424AA_AS","Avian","Escherichia coli",131
"ESC_LA3423AA_AS","Avian","Escherichia coli",131
"ESC_LA3422AA_AS","Human","Escherichia coli",131
"ESC_LA3420AA_AS","Human","Escherichia coli",131
"ESC_LA3419AA_AS","Avian","Escherichia coli",131
"ESC_LA3413AA_AS","Avian","Escherichia coli",131
"ESC_LA3408AA_AS","Human","Escherichia coli",131
"ESC_LA3407AA_AS","Human","Escherichia coli",131
"ESC_LA3406AA_AS","Human","Escherichia coli",131
"ESC_LA3405AA_AS","Swine","Escherichia coli",131
"ESC_LA3404AA_AS","Human","Escherichia coli",131
"ESC_LA3403AA_AS","Human","Escherichia coli",131
"ESC_LA3402AA_AS","Human","Escherichia coli",131
"ESC_LA3401AA_AS","Human","Escherichia coli",131
"ESC_LA3400AA_AS","Human","Escherichia coli",131
"ESC_LA3399AA_AS","Human","Escherichia coli",131
"ESC_LA3398AA_AS","Human","Escherichia coli",131
"ESC_LA3397AA_AS","Human","Escherichia coli",131
"ESC_LA3396AA_AS","Swine","Escherichia coli",131
"ESC_LC4097AA_AS","Human","Escherichia coli",131
"ESC_LC4119AA_AS","Human","Escherichia coli",131
"ESC_LC4407AA_AS","Human","Escherichia coli",131
"ESC_LC4408AA_AS","Human","Escherichia coli",131
"ESC_LC4409AA_AS","Human","Escherichia coli",131
"ESC_LC4410AA_AS","Human","Escherichia coli",131
"ESC_LC4411AA_AS","Human","Escherichia coli",131
"ESC_LC4413AA_AS","Human","Escherichia coli",131
"ESC_LC4414AA_AS","Human","Escherichia coli",131
"ESC_LC4415AA_AS","Human","Escherichia coli",131
"ESC_LC4416AA_AS","Human","Escherichia coli",131
"ESC_LC4418AA_AS","Human","Escherichia coli",131
"ESC_RA4255AA_AS","Human","Escherichia coli",131
"ESC_RA4036AA_AS","Human","Escherichia coli",131
"ESC_RA4037AA_AS","Human","Escherichia coli",131
"ESC_VA9598AA_AS","Human","Escherichia coli",131
"ESC_WA8507AA_AS","Human","Escherichia coli",131
"ESC_FB3983AA_AS","Human","Escherichia coli",131
"ESC_FB3976AA_AS","Human","Escherichia coli",131
"ESC_FB3964AA_AS","Human","Escherichia coli",131
"ESC_FB3963AA_AS","Human","Escherichia coli",131
"ESC_FB3959AA_AS","Human","Escherichia coli",131
"ESC_FB3955AA_AS","Human","Escherichia coli",131
"ESC_GB9451AA_AS","Swine","Escherichia coli",131
"ESC_GB9480AA_AS","Swine","Escherichia coli",131
"ESC_IB6567AA_AS","Swine","Escherichia coli",131
"ESC_IB6566AA_AS","Swine","Escherichia coli",131
"ESC_IB6565AA_AS","Swine","Escherichia coli",131
"ESC_IB6564AA_AS","Swine","Escherichia coli",131
"ESC_IB6563AA_AS","Swine","Escherichia coli",131
"ESC_IB6562AA_AS","Swine","Escherichia coli",131
"ESC_IB6561AA_AS","Swine","Escherichia coli",131
"ESC_IB6559AA_AS","Swine","Escherichia coli",131
"ESC_IB6558AA_AS","Swine","Escherichia coli",131
"ESC_JB0239AA_AS","Human","Escherichia coli",131
"ESC_JB0240AA_AS","Human","Escherichia coli",131
"ESC_JB0241AA_AS","Human","Escherichia coli",131
"ESC_JB0242AA_AS","Human","Escherichia coli",131
"ESC_JB0243AA_AS","Human","Escherichia coli",131
"ESC_JB0480AA_AS","Human","Escherichia coli",131
"ESC_JB0482AA_AS","Human","Escherichia coli",131
"ESC_JB0483AA_AS","Human","Escherichia coli",131
"ESC_JB0484AA_AS","Human","Escherichia coli",131
"ESC_JB0485AA_AS","Human","Escherichia coli",131
"ESC_JB0486AA_AS","Human","Escherichia coli",131
"ESC_JB0491AA_AS","Human","Escherichia coli",131
"ESC_JB0492AA_AS","Human","Escherichia coli",131
"ESC_JB0501AA_AS","Human","Escherichia coli",131
"ESC_JB0679AA_AS","Human","Escherichia coli",131
"ESC_JB0680AA_AS","Human","Escherichia coli",131
"ESC_JB0685AA_AS","Human","Escherichia coli",131
"ESC_JB0686AA_AS","Human","Escherichia coli",131
"ESC_JB0687AA_AS","Human","Escherichia coli",131
"ESC_JB2555AA_AS","Human","Escherichia coli",131
"ESC_LB0838AA_AS","Canine","Escherichia coli",131
"ESC_NB6845AA_AS","Human","Escherichia coli",131
"ESC_NB6844AA_AS","Human","Escherichia coli",131
"ESC_NB6837AA_AS","Human","Escherichia coli",131
"ESC_NB6835AA_AS","Human","Escherichia coli",131
"ESC_NB6832AA_AS","Human","Escherichia coli",131
"ESC_NB6827AA_AS","Human","Escherichia coli",131
"ESC_NB6499AA_AS","Human","Escherichia coli",131
"ESC_NB6498AA_AS","Human","Escherichia coli",131
"ESC_NB6492AA_AS","Human","Escherichia coli",131
"ESC_NB5149AA_AS","Poultry","Escherichia coli",131
"ESC_NB5147AA_AS","Poultry","Escherichia coli",131
"ESC_NB5145AA_AS","Poultry","Escherichia coli",131
"ESC_NB5137AA_AS","Poultry","Escherichia coli",131
"ESC_UB3254AA_AS","Human","Escherichia coli",131
"ESC_UB6551AA_AS","Human","Escherichia coli",131
"ESC_VB2517AA_AS","Water/River","Escherichia coli",131
"ESC_WB5256AA_AS","Human","Escherichia coli",131
"ESC_WB5257AA_AS","Human","Escherichia coli",131
"ESC_WB5258AA_AS","Human","Escherichia coli",131
"ESC_WB5259AA_AS","Human","Escherichia coli",131
"ESC_WB5260AA_AS","Human","Escherichia coli",131
"ESC_WB5261AA_AS","Human","Escherichia coli",131
"ESC_WB5262AA_AS","Human","Escherichia coli",131
"ESC_WB5265AA_AS","Human","Escherichia coli",131
"ESC_WB5315AA_AS","Human","Escherichia coli",131
"ESC_WB5316AA_AS","Human","Escherichia coli",131
"ESC_WB5317AA_AS","Human","Escherichia coli",131
"ESC_WB5318AA_AS","Human","Escherichia coli",131
"ESC_WB5319AA_AS","Human","Escherichia coli",131
"ESC_WB5320AA_AS","Human","Escherichia coli",131
"ESC_WB5321AA_AS","Human","Escherichia coli",131
"ESC_WB5322AA_AS","Human","Escherichia coli",131
"ESC_WB5323AA_AS","Human","Escherichia coli",131
"ESC_WB5324AA_AS","Human","Escherichia coli",131
"ESC_WB5325AA_AS","Human","Escherichia coli",131
"ESC_WB5326AA_AS","Human","Escherichia coli",131
"ESC_WB5327AA_AS","Human","Escherichia coli",131
"ESC_WB5328AA_AS","Human","Escherichia coli",131
"ESC_WB5329AA_AS","Human","Escherichia coli",131
"ESC_WB5330AA_AS","Human","Escherichia coli",131
"ESC_WB5331AA_AS","Human","Escherichia coli",131
"ESC_WB5332AA_AS","Human","Escherichia coli",131
"ESC_WB5333AA_AS","Human","Escherichia coli",131
"ESC_WB5334AA_AS","Human","Escherichia coli",131
"ESC_WB5335AA_AS","Human","Escherichia coli",131
"ESC_WB5354AA_AS","Water/River","Escherichia coli",131
"ESC_WB5355AA_AS","Water/River","Escherichia coli",131
"ESC_WB5356AA_AS","Water/River","Escherichia coli",131
"ESC_WB5357AA_AS","Water/River","Escherichia coli",131
"ESC_XB2573AA_AS","Human","Escherichia coli",131
"ESC_AC4095AA_AS","Human","Escherichia coli",131
"ESC_AC4096AA_AS","Human","Escherichia coli",131
"ESC_AC4097AA_AS","Human","Escherichia coli",131
"ESC_AC4098AA_AS","Human","Escherichia coli",131
"ESC_AC4099AA_AS","Human","Escherichia coli",131
"ESC_AC4100AA_AS","Human","Escherichia coli",131
"ESC_AC4101AA_AS","Human","Escherichia coli",131
"ESC_AC4103AA_AS","Human","Escherichia coli",131
"ESC_AC3926AA_AS","Human","Escherichia coli",131
"ESC_CC2602AA_AS","Human","Escherichia coli",131
"ESC_CC2606AA_AS","Human","Escherichia coli",131
"ESC_CC2610AA_AS","Human","Escherichia coli",131
"ESC_CC2612AA_AS","Human","Escherichia coli",131
"ESC_CC2613AA_AS","Human","Escherichia coli",131
"ESC_CC2616AA_AS","Human","Escherichia coli",131
"ESC_CC2618AA_AS","Human","Escherichia coli",131
"ESC_CC2621AA_AS","Human","Escherichia coli",131
"ESC_CC9954AA_AS","Human","Escherichia coli",131
"ESC_CA0677AA_AS","Human","Escherichia coli",95
"ESC_FC6870AA_AS","Human","Escherichia coli",95
"ESC_GC1947AA_AS","Human","Escherichia coli",95
"ESC_JC1099AA_AS","Human","Escherichia coli",95
"ESC_JC3010AA_AS","Human","Escherichia coli",95
