Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Comment	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Assembly barcode	Version
ESC_BA3450AA	725_ECOL	SRR1656162;ILLUMINA;Paired;;SRX762628;NEW	Human	Human	Homo sapiens					North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA267549	SRP049998		SAMN03197930	SRS747139	2015-08-27	2015-07-07	ESC_BA3450AA	Assembled	0	127883	5171259	Escherichia coli / Shigella;99.19%	124	40911	ESC_CA3510AA_AS	2.2
ESC_BA3500AA	417_ECOL	SRR1655840;ILLUMINA;Paired;;SRX762306;NEW	Human	Human	Homo sapiens					North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA267549	SRP049998		SAMN03197608	SRS746816	2015-08-27	2015-07-07	ESC_BA3500AA	Assembled	40.24	252854	5236206	Escherichia coli / Shigella;100.0%	130	4639	ESC_AA9673AA_AS	2.2
ESC_BA3539AA	121_ECOL	SRR1655404;ILLUMINA;Paired;;SRX761870;NEW	Human	Human	Homo sapiens					North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA267549	SRP049998		SAMN03197172	SRS746380	2015-08-27	2015-07-07	ESC_BA3539AA	Assembled	0	252842	5065149	Escherichia coli / Shigella;100.0%	94	3434	ESC_BA7702AA_AS	2.2
ESC_BA3547AA	1163_ECOL	SRR1655352;ILLUMINA;Paired;;SRX761818;NEW	Human	Human	Homo sapiens					North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA267549	SRP049998		SAMN03197120	SRS746326	2015-08-27	2015-07-07	ESC_BA3547AA	Assembled	0	174723	5105590	Escherichia coli / Shigella;100.0%	93	19400	ESC_CA2046AA_AS	2.2
ESC_BA3553AA	1066.rep1_ECOL	SRR1655260;ILLUMINA;Paired;;SRX761726;NEW	Human	Human	Homo sapiens					North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA267549	SRP049998		SAMN03197028	SRS746236	2015-08-27	2015-07-07	ESC_BA3553AA	Assembled	0	159525	5135051	Escherichia coli / Shigella;99.18%	139	14111	ESC_BA6237AA_AS	2.2
ESC_BA4217AA	DRS016130	DRR018449;ILLUMINA;Paired;;DRX016675;NEW																KYOTO_PREF	Escherichia coli								PRJDB2638	DRP002307		SAMD00013342	DRS016130	2015-08-27	2014-08-08	ESC_BA4217AA	Assembled	23.07	226176	5191803	Escherichia coli / Shigella;100.0%	71	9443	ESC_BA2663AA_AS	2.2
ESC_BA4231AA	DRS016123	DRR018442;ILLUMINA;Paired;;DRX016668;NEW																KYOTO_PREF	Escherichia coli								PRJDB2638	DRP002307		SAMD00013338	DRS016123	2015-08-27	2014-08-08	ESC_BA4231AA	Assembled	31.14	65272	5088984	Escherichia coli / Shigella;100.0%	164	17591	ESC_CA4075AA_AS	2.2
ESC_BA4239AA	DRS016119	DRR018438;ILLUMINA;Paired;;DRX016664;NEW																KYOTO_PREF	Escherichia coli								PRJDB2638	DRP002307		SAMD00013339	DRS016119	2015-08-27	2014-08-08	ESC_BA4239AA	Assembled	24.15	180805	5108674	Escherichia coli / Shigella;97.58%	89	10970	ESC_BA0306AA_AS	2.2
ESC_BA4267AA	DRS013917	DRR015809;ILLUMINA;Paired;;DRX014181;NEW																National Institute of Genetics (Japan)	Escherichia coli								PRJDB1837	DRP001483		SAMD00002695	DRS013917	2015-08-27	2014-05-14	ESC_BA4267AA	Assembled	468.93	294089	4810951	Escherichia coli / Shigella;98.72%	87	2510	ESC_BA3857AA_AS	2.2
ESC_BA4723AA	AZ-TG73711	SRR1505444;ILLUMINA;Paired;500;SRX644970;NEW	Poultry	Avian	chicken; thin sliced chicken breast	2013	7	15		North America	United States	Illinois						FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	Escherichia coli								PRJNA230968	SRP038995		SAMN02628681	SRS653157	2015-08-27	2014-07-02	ESC_BA4723AA	Assembled	82.7	204006	5324320	Escherichia coli / Shigella;85.29%	115	4435	ESC_CA6119AA_AS	2.2
ESC_BA4877AA	upec-98	SRR1314597;ILLUMINA;Paired;;SRX560614;NEW	Human	Human	Homo sapiens; patient with urinary tract infection	2011				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02802194	SRS624909	2015-08-27	2014-10-26	ESC_BA4877AA	Assembled	59.67	411768	5125850	Escherichia coli / Shigella;100.0%	94	3515	ESC_CA4830AA_AS	2.2
ESC_BA4884AA	upec-94	SRR1314593;ILLUMINA;Paired;;SRX560610;NEW	Human	Human	Homo sapiens; patient with urinary tract infection	2011				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02802190	SRS624906	2015-08-27	2014-10-26	ESC_BA4884AA	Assembled	53.66	100952	4967238	Escherichia coli / Shigella;99.46%	178	7822	ESC_CA3085AA_AS	2.2
ESC_BA4916AA	upec-8	SRR1314577;ILLUMINA;Paired;;SRX560594;NEW	Human	Human	Homo sapiens; patient with urinary tract infection	2011				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02802174	SRS624890	2015-08-27	2014-10-26	ESC_BA4916AA	Assembled	69.35	171592	4976243	Escherichia coli / Shigella;100.0%	107	3395	ESC_BA3227AA_AS	2.2
ESC_BA4924AA	upec-76	SRR1314573;ILLUMINA;Paired;;SRX560590;NEW	Human	Human	Homo sapiens; patient with urinary tract infection	2011				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02802170	SRS624886	2015-08-27	2014-10-26	ESC_BA4924AA	Assembled	0	229798	5030832	Escherichia coli / Shigella;100.0%	85	2030	ESC_BA5182AA_AS	2.2
ESC_BA4926AA	upec-75	SRR1314572;ILLUMINA;Paired;;SRX560589;NEW	Human	Human	Homo sapiens; patient with urinary tract infection	2011				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02802169	SRS624885	2015-08-27	2014-10-26	ESC_BA4926AA	Assembled	121.72	229460	5116201	Escherichia coli / Shigella;96.55%	85	1998	ESC_BA1000AA_AS	2.2
ESC_BA4930AA	upec-73	SRR1314570;ILLUMINA;Paired;;SRX560587;NEW	Human	Human	Homo sapiens; patient with urinary tract infection	2011				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02802167	SRS624883	2015-08-27	2014-10-26	ESC_BA4930AA	Assembled	68.38	181186	5064459	Escherichia coli / Shigella;100.0%	102	2865	ESC_BA8190AA_AS	2.2
ESC_BA4933AA	upec-72	SRR1314569;ILLUMINA;Paired;;SRX560586;NEW	Human	Human	Homo sapiens; patient with urinary tract infection	2011				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02802166	SRS624882	2015-08-27	2014-10-26	ESC_BA4933AA	Assembled	44.52	88825	5065356	Escherichia coli / Shigella;91.95%	178	8298	ESC_CA0637AA_AS	2.2
ESC_BA4957AA	upec-61	SRR1314557;ILLUMINA;Paired;;SRX560574;NEW	Human	Human	Homo sapiens; patient with urinary tract infection	2011				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02802154	SRS624871	2015-08-27	2014-10-26	ESC_BA4957AA	Assembled	0	174956	5113105	Escherichia coli / Shigella;100.0%	142	3060	ESC_BA3655AA_AS	2.2
ESC_BA4981AA	upec-51	SRR1314546;ILLUMINA;Paired;;SRX560563;NEW	Human	Human	Homo sapiens; patient with urinary tract infection	2011				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02802143	SRS624859	2015-08-27	2014-10-26	ESC_BA4981AA	Assembled	90.09	185937	5060984	Escherichia coli / Shigella;95.05%	98	1587	ESC_BA3061AA_AS	2.2
ESC_BA5095AA	upec-255	SRR1314484;ILLUMINA;Paired;;SRX560501;NEW	Human	Human	Homo sapiens; patient with urinary tract infection	2012				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02802081	SRS624797	2015-08-27	2014-10-26	ESC_BA5095AA	Assembled	60.45	175923	5131443	Escherichia coli / Shigella;99.08%	109	2797	ESC_BA2574AA_AS	2.2
ESC_BA5100AA	upec-250	SRR1314479;ILLUMINA;Paired;;SRX560496;NEW	Human	Human	Homo sapiens; patient with urinary tract infection	2012				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02802076	SRS624792	2015-08-27	2014-10-26	ESC_BA5100AA	Assembled	0	174739	5177177	Escherichia coli / Shigella;100.0%	153	1849	ESC_BA8753AA_AS	2.2
ESC_BA5102AA	upec-249	SRR1314477;ILLUMINA;Paired;;SRX560494;NEW	Human	Human	Homo sapiens; patient with urinary tract infection	2011				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02802074	SRS624790	2015-08-27	2014-10-26	ESC_BA5102AA	Assembled	138.44	203908	5102711	Escherichia coli / Shigella;100.0%	135	2157	ESC_BA6731AA_AS	2.2
ESC_BA5111AA	upec-240	SRR1314468;ILLUMINA;Paired;;SRX560485;NEW	Human	Human	Homo sapiens; patient with urinary tract infection	2011				North America	United States							UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02802065	SRS624781	2015-08-27	2014-10-26	ESC_BA5111AA	Assembled	797.03	171578	5201717	Escherichia coli / Shigella;99.17%	118	1382	ESC_CA6171AA_AS	2.2
ESC_BA5146AA	upec-209	SRR1314433;ILLUMINA;Paired;;SRX560450;NEW	Human	Human	Homo sapiens; patient with urinary tract infection	2011				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02802030	SRS624746	2015-08-27	2014-10-26	ESC_BA5146AA	Assembled	24.72	154216	5311951	Escherichia coli / Shigella;100.0%	127	8819	ESC_CA6770AA_AS	2.2
ESC_BA5160AA	upec-197	SRR1314419;ILLUMINA;Paired;;SRX560436;NEW	Human	Human	Homo sapiens; patient with urinary tract infection	2011				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02802016	SRS624732	2015-08-27	2014-10-26	ESC_BA5160AA	Assembled	236.16	286193	5025537	Escherichia coli / Shigella;98.62%	78	1418	ESC_BA3967AA_AS	2.2
ESC_BA5173AA	upec-185	SRR1314406;ILLUMINA;Paired;;SRX560423;NEW	Human	Human	Homo sapiens; patient with urinary tract infection	2011				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02802003	SRS624719	2015-08-27	2014-10-26	ESC_BA5173AA	Assembled	74.01	225250	5027246	Escherichia coli / Shigella;95.75%	153	3540	ESC_CA5916AA_AS	2.2
ESC_BA5191AA	upec-169	SRR1314388;ILLUMINA;Paired;;SRX560405;NEW	Human	Human	Homo sapiens; patient with urinary tract infection	2011				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02801985	SRS624701	2015-08-27	2014-10-26	ESC_BA5191AA	Assembled	123.2	203502	5132446	Escherichia coli / Shigella;100.0%	117	1750	ESC_BA5541AA_AS	2.2
ESC_BA5204AA	upec-157	SRR1314375;ILLUMINA;Paired;;SRX560392;NEW	Human	Human	Homo sapiens; patient with urinary tract infection	2011				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02801972	SRS624688	2015-08-27	2014-10-26	ESC_BA5204AA	Assembled	58.22	261134	5191170	Escherichia coli / Shigella;100.0%	171	5088	ESC_CA2713AA_AS	2.2
ESC_BA5218AA	upec-144	SRR1314361;ILLUMINA;Paired;;SRX560378;NEW	Human	Human	Homo sapiens; patient with urinary tract infection	2011				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02801958	SRS624674	2015-08-27	2014-10-26	ESC_BA5218AA	Assembled	137.56	194201	5110115	Escherichia coli / Shigella;100.0%	135	1578	ESC_BA4389AA_AS	2.2
ESC_BA5224AA	upec-139	SRR1314355;ILLUMINA;Paired;;SRX560372;NEW	Human	Human	Homo sapiens; patient with urinary tract infection	2011				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02801952	SRS624668	2015-08-27	2014-10-26	ESC_BA5224AA	Assembled	0	262685	5027116	Escherichia coli / Shigella;100.0%	85	2823	ESC_BA4608AA_AS	2.2
ESC_BA5227AA	upec-136	SRR1314352;ILLUMINA;Paired;;SRX560369;NEW	Human	Human	Homo sapiens; patient with urinary tract infection	2011				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02801949	SRS624665	2015-08-27	2014-10-26	ESC_BA5227AA	Assembled	44.87	348608	5256780	Escherichia coli / Shigella;100.0%	118	4680	ESC_AA9421AA_AS	2.2
ESC_BA5232AA	upec-131	SRR1314347;ILLUMINA;Paired;;SRX560364;NEW	Human	Human	Homo sapiens; patient with urinary tract infection	2011				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02801944	SRS624659	2015-08-27	2014-10-26	ESC_BA5232AA	Assembled	0	262685	5033083	Escherichia coli / Shigella;100.0%	128	4022	ESC_CA1931AA_AS	2.2
ESC_BA5235AA	upec-129	SRR1314344;ILLUMINA;Paired;;SRX560361;NEW	Human	Human	Homo sapiens; patient with urinary tract infection	2011				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02801941	SRS624657	2015-08-27	2014-10-26	ESC_BA5235AA	Assembled	0	191094	5236140	Escherichia coli / Shigella;96.05%	248	4469	ESC_BA3990AA_AS	2.2
ESC_BA5244AA	upec-124	SRR1314339;ILLUMINA;Paired;;SRX560356;NEW	Human	Human	Homo sapiens; patient with urinary tract infection	2011				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02801936	SRS624653	2015-08-27	2014-10-26	ESC_BA5244AA	Assembled	30.89	182283	4959656	Escherichia coli / Shigella;100.0%	79	6662	ESC_BA1242AA_AS	2.2
ESC_BA5251AA	upec-120	SRR1314335;ILLUMINA;Paired;;SRX560352;NEW	Human	Human	Homo sapiens; patient with urinary tract infection	2011				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02801932	SRS624648	2015-08-27	2014-10-26	ESC_BA5251AA	Assembled	37.29	186535	5295487	Escherichia coli / Shigella;97.56%	178	7855	ESC_BA2267AA_AS	2.2
ESC_BA5284AA	upec-106	SRR1314319;ILLUMINA;Paired;;SRX560336;NEW	Human	Human	Homo sapiens; patient with urinary tract infection	2011				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02801916	SRS624632	2015-08-27	2014-10-26	ESC_BA5284AA	Assembled	68.16	246237	5127194	Escherichia coli / Shigella;96.75%	148	2782	ESC_BA1451AA_AS	2.2
ESC_BA5333AA	blood-11-0041	SRR1314296;ILLUMINA;Paired;;SRX560313;NEW	Human	Human	Homo sapiens; blood from patient with bacteremia	2011				North America	United States							UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02801893	SRS624608	2015-08-27	2014-10-26	ESC_BA5333AA	Assembled	30.12	176237	5007332	Escherichia coli / Shigella;98.94%	93	8826	ESC_CA2243AA_AS	2.2
ESC_BA5335AA	blood-11-0031	SRR1314295;ILLUMINA;Paired;;SRX560312;NEW	Human	Human	Homo sapiens; blood from patient with bacteremia	2011				North America	United States							UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02801892	SRS624616	2015-08-27	2014-10-26	ESC_BA5335AA	Assembled	141.9	412067	5060279	Escherichia coli / Shigella;98.79%	86	2826	ESC_BA0967AA_AS	2.2
ESC_BA5369AA	blood-10-0687	SRR1314278;ILLUMINA;Paired;;SRX560295;NEW	Human	Human	Homo sapiens; blood from patient with bacteremia	2010				North America	United States							UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02801875	SRS624591	2015-08-27	2014-10-26	ESC_BA5369AA	Assembled	70.23	267959	5109614	Escherichia coli / Shigella;100.0%	79	2401	ESC_BA7761AA_AS	2.2
ESC_BA5371AA	blood-10-0686	SRR1314277;ILLUMINA;Paired;;SRX560294;NEW	Human	Human	Homo sapiens; blood from patient with bacteremia	2010				North America	United States							UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02801874	SRS624590	2015-08-27	2014-10-26	ESC_BA5371AA	Assembled	290.86	175567	5131083	Escherichia coli / Shigella;97.1%	385	4422	ESC_AA7971AA_AS	2.2
ESC_BA5419AA	blood-09-0751	SRR1314253;ILLUMINA;Paired;;SRX560270;NEW	Human	Human	Homo sapiens; blood from patient with bacteremia	2009				North America	United States							UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02801850	SRS624566	2015-08-27	2014-10-26	ESC_BA5419AA	Assembled	86.52	174187	5367883	Escherichia coli / Shigella;99.54%	221	5011	ESC_CA0894AA_AS	2.2
ESC_BA5486AA	blood-08-0654	SRR1314221;ILLUMINA;Paired;;SRX560238;NEW	Human	Human	Homo sapiens; blood from patient with bacteremia	2008				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02801818	SRS624534	2015-08-27	2014-10-26	ESC_BA5486AA	Assembled	32.95	188399	5139393	Escherichia coli / Shigella;100.0%	93	7220	ESC_CA6692AA_AS	2.2
ESC_BA5490AA	blood-08-0493	SRR1314219;ILLUMINA;Paired;;SRX560236;NEW	Human	Human	Homo sapiens; blood from patient with bacteremia	2008				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02801816	SRS624532	2015-08-27	2014-10-26	ESC_BA5490AA	Assembled	66.1	264142	5100296	Escherichia coli / Shigella;100.0%	104	2968	ESC_BA5185AA_AS	2.2
ESC_BA5853AA	eo928	ERR485890;ILLUMINA;Paired;250;ERX451722;NEW			blood; Homo sapiens					Europe								THE SANGER CENTER	Escherichia coli								PRJEB4681	ERP003992		SAMEA2271749	ERS379216	2015-08-27	2014-05-14	ESC_BA5853AA	Assembled	0	504183	4912131	Escherichia coli / Shigella;100.0%	92	1099	ESC_BA9973AA_AS	2.2
ESC_BA5856AA	eo399	ERR485899;ILLUMINA;Paired;250;ERX451731;NEW			blood; Homo sapiens					Europe								THE SANGER CENTER	Escherichia coli								PRJEB4681	ERP003992		SAMEA2271758	ERS379225	2015-08-27	2014-05-14	ESC_BA5856AA	Assembled	0	170672	5295546	Escherichia coli / Shigella;96.56%	209	2153	ESC_BA9511AA_AS	2.2
ESC_BA6378AA	ECO0326	ERR439688;ILLUMINA;Paired;250;ERX406351;NEW			blood; Homo sapiens					Europe								THE SANGER CENTER	Escherichia coli								PRJEB4681	ERP003992		SAMEA2204544	ERS357055	2015-08-27	2014-05-14	ESC_BA6378AA	Assembled	71.96	269823	5075508	Escherichia coli / Shigella;100.0%	150	2333	ESC_BA5460AA_AS	2.2
ESC_BA6380AA	ECO0310	ERR439687;ILLUMINA;Paired;250;ERX406350;NEW			blood; Homo sapiens					Europe								THE SANGER CENTER	Escherichia coli								PRJEB4681	ERP003992		SAMEA2204530	ERS357041	2015-08-27	2014-05-14	ESC_BA6380AA	Assembled	78.29	411791	5224331	Escherichia coli / Shigella;100.0%	80	1704	ESC_CA4280AA_AS	2.2
ESC_BA6386AA	ECO0160	ERR439684;ILLUMINA;Paired;250;ERX406347;NEW			blood; Homo sapiens					Europe								THE SANGER CENTER	Escherichia coli								PRJEB4681	ERP003992		SAMEA2204388	ERS356899	2015-08-27	2014-05-14	ESC_BA6386AA	Assembled	69.69	236906	4977884	Escherichia coli / Shigella;100.0%	135	1942	ESC_CA4192AA_AS	2.2
ESC_BA6390AA	ECO0131	ERR439682;ILLUMINA;Paired;250;ERX406345;NEW			blood; Homo sapiens					Europe								THE SANGER CENTER	Escherichia coli								PRJEB4681	ERP003992		SAMEA2204359	ERS356870	2015-08-27	2014-05-14	ESC_BA6390AA	Assembled	64.71	361553	5112832	Escherichia coli / Shigella;100.0%	90	1992	ESC_CA4430AA_AS	2.2
ESC_BA6396AA	ECO0082	ERR439679;ILLUMINA;Paired;250;ERX406342;NEW			blood; Homo sapiens					Europe								THE SANGER CENTER	Escherichia coli								PRJEB4681	ERP003992		SAMEA2204310	ERS356821	2015-08-27	2014-05-14	ESC_BA6396AA	Assembled	77.99	358330	5182841	Escherichia coli / Shigella;100.0%	153	3837	ESC_FA7362AA_AS	2.2
ESC_BA6403AA	ECO0063	ERR439675;ILLUMINA;Paired;250;ERX406338;NEW			blood; Homo sapiens					Europe								THE SANGER CENTER	Escherichia coli								PRJEB4681	ERP003992		SAMEA2204291	ERS356802	2015-08-27	2014-05-14	ESC_BA6403AA	Assembled	57.77	325654	5035005	Escherichia coli / Shigella;100.0%	82	1808	ESC_CA2277AA_AS	2.2
ESC_BA6425AA	eo3426	ERR439662;ILLUMINA;Paired;250;ERX406325;NEW			blood; Homo sapiens					Europe								THE SANGER CENTER	Escherichia coli								PRJEB4681	ERP003992		SAMEA2205573	ERS358084	2015-08-27	2014-05-14	ESC_BA6425AA	Assembled	0	178053	5350595	Escherichia coli / Shigella;100.0%	212	4162	ESC_BA9427AA_AS	2.2
ESC_BA6443AA	eo1428	ERR439653;ILLUMINA;Paired;250;ERX406316;NEW			blood; Homo sapiens					Europe								THE SANGER CENTER	Escherichia coli								PRJEB4681	ERP003992		SAMEA2205329	ERS357840	2015-08-27	2014-05-14	ESC_BA6443AA	Assembled	0	234975	5233736	Escherichia coli / Shigella;100.0%	193	2939	ESC_BA4270AA_AS	2.2
