"assembly_barcode","Uberstrain","ST_Country","N_human_e.coli_shigella","N_bovine_e.coli_shigella","N_swine_e.coli_shigella","N_poultry_e.coli_shigella","N_dog_e.coli_shigella","N_water_e.coli_shigella","Name.x","Barcode.x","Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status).x","Source Niche.x","source_type","Source Details.x","Collection Year.x","Collection Month.x","Collection Day.x","Collection Time.x","Continent.x","Country.x","Region.x","District.x","City.x","Post Code.x","Latitude.x","Longitude.x","Lab Contact.x","Species.x","Serological Group.x","Serotype.x","EcoR Cluster.x","Path/Nonpath.x","Simple Patho.x","Comment.x","Simple Disease.x","Bio Project ID.x","Project ID.x","Disease.x","Sample ID.x","Secondary Sample ID.x","Date Entered.x","Release Date.x","Differences","ST","ST Complex","Lineage","Subspecies","adk","fumC","gyrB","icd","mdh","purA","recA","is_common_ST","is_common_country","is_bovine","is_swine","is_poultry","is_human","is_human2","is_dog","is_water","is_concerned_host","Name.y","Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status).y","Source Niche.y","Source Type.y","Source Details.y","Collection Year.y","Collection Month.y","Collection Day.y","Collection Time.y","Continent.y","Country.y","Region.y","District.y","City.y","Post Code.y","Latitude.y","Longitude.y","Lab Contact.y","Species.y","Serological Group.y","Serotype.y","EcoR Cluster.y","Path/Nonpath.y","Simple Patho.y","Simple Disease.y","Comment.y","Bio Project ID.y","Project ID.y","Disease.y","Sample ID.y","Secondary Sample ID.y","Date Entered.y","Release Date.y","Barcode.y","Status","Coverage","N50","Length","Contig Number(>=200 bp)","Low Quality Bases","Version"
"ESC_HC9885AA_AS","ESC_DB6481AA","95_United States",626,36,2,63,25,12,"RM11352","ESC_DB6481AA","SRR23351541;ILLUMINA;Paired;500;SRX19293070;SRA,SRR24258164;ILLUMINA;Paired;500;SRX20054028;SRA","Livestock","Bovine","cow; bovine",2010,NA,NA,"","North America","United States","California","","","",NA,NA,"FDA","Escherichia coli","","","","","","","","PRJNA677988","SRP323105","","SAMN33141931","SRS16694073",2023-02-07,2023-02-06,NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","RM11352","SRR24258164;ILLUMINA;Paired;500;SRX20054028;SRA,SRR23351541;ILLUMINA;Paired;500;SRX19293070;SRA","Livestock","Bovine","cow; bovine",2010,NA,NA,NA,"North America","United States","California","","",NA,NA,NA,"FDA","Escherichia coli","","","","","","","","PRJNA677988","SRP323105","","SAMN33141931","SRS16694073",2023-02-07,2023-02-06,"ESC_DB6481AA","Assembled",67,261462,5388188,116,2815,5
"ESC_JC1099AA_AS","ESC_EB7509AA","95_Japan",129,2,0,1,0,41,"JBAEABJ-19-0018","ESC_EB7509AA","DRR386210;ILLUMINA;Paired;450;DRX372070;SRA","Human","Human","Homo sapiens; urine",2019,6,6,"","Asia","Japan","","","","",38.268672,140.87217,"National Institute of Infectious Diseases - Japan","Escherichia coli","","","","","","","","PRJDB10842","DRP007849","","SAMD00497706","DRS297472",2023-04-25,2023-04-25,NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","JBAEABJ-19-0018","DRR386210;ILLUMINA;Paired;450;DRX372070;SRA","Human","Human","Homo sapiens; urine",2019,6,6,NA,"Asia","Japan","","","",NA,38.268672,140.87217,"National Institute of Infectious Diseases - Japan","Escherichia coli","","","","","","","","PRJDB10842","DRP007849","","SAMD00497706","DRS297472",2023-04-25,2023-04-25,"ESC_EB7509AA","Assembled",75.4,241647,5296150,164,4713,5.1
"ESC_JC3010AA_AS","ESC_EB9318AA","95_Japan",129,2,0,1,0,41,"JBDDABD-19-0052","ESC_EB9318AA","DRR389842;ILLUMINA;Paired;450;DRX375702;SRA","Human","Human","Homo sapiens; venous blood",2019,9,7,"","Asia","Japan","Okayama Prefecture","","","",34.661559,133.934557,"National Institute of Infectious Diseases - Japan","Escherichia coli","","","","","","","","PRJDB10842","DRP007849","","SAMD00501338","DRS300924",2023-04-25,2023-04-25,NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","JBDDABD-19-0052","DRR389842;ILLUMINA;Paired;450;DRX375702;SRA","Human","Human","Homo sapiens; venous blood",2019,9,7,NA,"Asia","Japan","Okayama Prefecture","","",NA,34.661559,133.934557,"National Institute of Infectious Diseases - Japan","Escherichia coli","","","","","","","","PRJDB10842","DRP007849","","SAMD00501338","DRS300924",2023-04-25,2023-04-25,"ESC_EB9318AA","Assembled",58.7,211120,5218016,116,8813,5.1
"ESC_LB8831AA_AS","ESC_RA7300AA","95_United States",626,36,2,63,25,12,"MOD1-EC6113","ESC_RA7300AA","GCF_002512925;Contig;;;;Contig","Livestock","Swine","Sus scrofa scrofa; pleural cavity",1983,2,NA,"","North America","United States","Pennsylvania","","","",NA,NA,"FDA Center for Food Safety and Applied Nutrition","Escherichia coli","","","","","","","","PRJNA224116","","","SAMN05464540","",2020-06-26,2017-10-11,NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","MOD1-EC6113","GCF_002512925;Contig;;;;Contig","Livestock","Swine","Sus scrofa scrofa; pleural cavity",1983,2,NA,NA,"North America","United States","Pennsylvania","","",NA,NA,NA,"FDA Center for Food Safety and Applied Nutrition","Escherichia coli","","","","","","","","PRJNA224116","","","SAMN05464540","",2020-06-26,2017-10-11,"ESC_RA7300AA","Assembled",1,129520,5083726,151,0,NA
"ESC_NB5000AA_AS","ESC_SA5914AA","95_Belgium",23,0,0,126,0,0,"Broiler01","ESC_SA5914AA","SRR8924013;ILLUMINA;Paired;;SRX5705415;SRA","Poultry","Poultry","Gallus gallus domesticus",2016,NA,NA,"","Europe","Belgium","","","","",50.5039,4.4699,"University of Surrey","Escherichia coli","","","","","","","","PRJNA523197","SRP192880","","SAMN11444447","SRS4644853",2020-10-01,2020-05-01,NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"yes","Broiler01","SRR8924013;ILLUMINA;Paired;;SRX5705415;SRA","Poultry","Poultry","Gallus gallus domesticus",2016,NA,NA,NA,"Europe","Belgium","","","",NA,50.5039,4.4699,"University of Surrey","Escherichia coli","","","","","","","","PRJNA523197","SRP192880","","SAMN11444447","SRS4644853",2020-10-01,2020-05-01,"ESC_SA5914AA","Assembled",358,268659,5151434,97,10327,4.1
"ESC_NB6402AA_AS","ESC_SA6581AA","95_Japan",129,2,0,1,0,41,"SewageB-015","ESC_SA6581AA","DRR223864;ILLUMINA;Paired;500;DRX214149;SRA","Environment","Water/River","water",2017,10,25,"","Asia","Japan","Miyazaki Prefecture","","","",NA,NA,"KYUSHU","Escherichia coli","","","","","","","","PRJDB9692","DRP006578","","SAMD00220535","DRS155657",2020-10-02,2020-10-01,NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"yes","SewageB-015","DRR223864;ILLUMINA;Paired;500;DRX214149;SRA","Environment","Water/River","water",2017,10,25,NA,"Asia","Japan","Miyazaki Prefecture","","",NA,NA,NA,"KYUSHU","Escherichia coli","","","","","","","","PRJDB9692","DRP006578","","SAMD00220535","DRS155657",2020-10-02,2020-10-01,"ESC_SA6581AA","Assembled",54,422271,5126566,55,9679,4.1
"ESC_SA3661AA_AS","ESC_JA0611AA","95_Denmark",112,0,0,26,0,0,"DH101","ESC_JA0611AA","traces-0jVAtnx;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","Breeder",2018,NA,NA,"","Europe","Denmark","","","","",NA,NA,"miki@sund.ku.dk","Escherichia coli","","","","","","","","","","","","",2018-05-31,2018-12-03,NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"yes","DH101","traces-0jVAtnx;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","Breeder",2018,NA,NA,NA,"Europe","Denmark","","","",NA,NA,NA,"miki@sund.ku.dk","Escherichia coli","","","","","","","","","","","","",2018-05-31,2018-12-03,"ESC_JA0611AA","Assembled",43,146819,5096859,144,46778,4
"ESC_SA7831AA_AS","ESC_JA4515AA","95_United States",626,36,2,63,25,12,"FSIS11810492","ESC_JA4515AA","SRR7458242;ILLUMINA;Paired;500;SRX4328738;SRA","Livestock","Bovine","animal-cattle-steer",2018,NA,NA,"","North America","United States","California","","","",NA,NA,"United States Department of Agriculture, Food Safety and Inspection Service","Escherichia coli","","","","","","","","PRJNA292667","SRP066916","","SAMN09521704","SRS3490840",2018-07-02,2018-06-30,NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","FSIS11810492","SRR7458242;ILLUMINA;Paired;500;SRX4328738;SRA","Livestock","Bovine","animal-cattle-steer",2018,NA,NA,NA,"North America","United States","California","","",NA,NA,NA,"United States Department of Agriculture, Food Safety and Inspection Service","Escherichia coli","","","","","","","","PRJNA292667","SRP066916","","SAMN09521704","SRS3490840",2018-07-02,2018-06-30,"ESC_JA4515AA","Assembled",106,178091,5400940,145,56498,4
"ESC_UB3226AA_AS","ESC_TA9033AA","95_Japan",129,2,0,1,0,41,"1612WWTPinf7","ESC_TA9033AA","SRR13441839;ILLUMINA;Paired;;SRX9855267;SRA","Environment","Water/River","misssing; wastewater",2016,12,NA,"","","Japan","Shiga Prefecture","","","",NA,NA,"Research Center for Environmental Quality Management, Kyoto University","Escherichia coli","","","","","","","","PRJNA692298","SRP301877","","SAMN17319742","SRS8036445",2021-01-15,2021-01-15,NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"yes","1612WWTPinf7","SRR13441839;ILLUMINA;Paired;;SRX9855267;SRA","Environment","Water/River","misssing; wastewater",2016,12,NA,NA,"","Japan","Shiga Prefecture","","",NA,NA,NA,"Research Center for Environmental Quality Management, Kyoto University","Escherichia coli","","","","","","","","PRJNA692298","SRP301877","","SAMN17319742","SRS8036445",2021-01-15,2021-01-15,"ESC_TA9033AA","Assembled",190,286901,5204216,80,9624,4.1
"ESC_XA8795AA_AS","ESC_MA1953AA","95_United States",626,36,2,63,25,12,"ECOL-18-VL-LA-ND-0035","ESC_MA1953AA","SRR8815902;ILLUMINA;Paired;500;SRX5604472;SRA","Companion Animal","Canine","veterinary clinical/research| companion animal; urine (Canis lupus familaris)",2018,9,11,"","North America","United States","Minnesota","","","",NA,NA,"FDA Center for Food Safety and Applied Nutrition","Escherichia coli","","","","","","","","PRJNA324573","SRP121361","","SAMN11288807","SRS4556371",2019-03-30,2019-03-29,NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"yes","ECOL-18-VL-LA-ND-0035","SRR8815902;ILLUMINA;Paired;500;SRX5604472;SRA","Companion Animal","Canine","veterinary clinical/research| companion animal; urine (Canis lupus familaris)",2018,9,11,NA,"North America","United States","Minnesota","","",NA,NA,NA,"FDA Center for Food Safety and Applied Nutrition","Escherichia coli","","","","","","","","PRJNA324573","SRP121361","","SAMN11288807","SRS4556371",2019-03-30,2019-03-29,"ESC_MA1953AA","Assembled",129,360284,5084512,60,14696,4
"ESC_XB1119AA_AS","ESC_VA7713AA","95_United States",626,36,2,63,25,12,"LB-5685","ESC_VA7713AA","SRR14854334;ILLUMINA;Paired;;SRX11172862;SRA","Companion Animal","Canine","veterinary clinical/research| companion animal; Canine; canine urine",2019,7,23,"","North America","United States","North Carolina","","","",NA,NA,"GenomeTrakr Project: Thakur Molecular Epidemiology Laboratory, NC State University","Escherichia coli","","","","","","","","PRJNA293225","SRP103093","","SAMN19763642","SRS9231173",2021-06-18,2021-06-18,NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"yes","LB-5685","SRR14854334;ILLUMINA;Paired;;SRX11172862;SRA","Companion Animal","Canine","veterinary clinical/research| companion animal; Canine; canine urine",2019,7,23,NA,"North America","United States","North Carolina","","",NA,NA,NA,"GenomeTrakr Project: Thakur Molecular Epidemiology Laboratory, NC State University","Escherichia coli","","","","","","","","PRJNA293225","SRP103093","","SAMN19763642","SRS9231173",2021-06-18,2021-06-18,"ESC_VA7713AA","Assembled",299,286901,5276074,96,13962,4.1
"ESC_YB4478AA_AS","ESC_WA1398AA","95_Belgium",23,0,0,126,0,0,"AM621","ESC_WA1398AA","SRR15090333;ILLUMINA;Paired;;SRX11400298;SRA","Poultry","Poultry","Poultry",2020,NA,NA,"","Europe","Belgium","","","","",NA,NA,"Ghent University","Escherichia coli","","","","","","","","PRJNA745212","SRP327691","","SAMN20156267","SRS9443438",2021-07-18,2021-07-14,NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"yes","AM621","SRR15090333;ILLUMINA;Paired;;SRX11400298;SRA","Poultry","Poultry","Poultry",2020,NA,NA,NA,"Europe","Belgium","","","",NA,NA,NA,"Ghent University","Escherichia coli","","","","","","","","PRJNA745212","SRP327691","","SAMN20156267","SRS9443438",2021-07-18,2021-07-14,"ESC_WA1398AA","Assembled",128,129558,5295096,154,40996,4.1
