"Uberstrain","ST_Country","N_human_e.coli_shigella","N_bovine_e.coli_shigella","N_swine_e.coli_shigella","N_poultry_e.coli_shigella","N_dog_e.coli_shigella","N_water_e.coli_shigella","Name.x","Barcode.x","Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status).x","Source Niche.x","source_type","Source Details.x","Collection Year.x","Collection Month.x","Collection Day.x","Collection Time.x","Continent.x","Country.x","Region.x","District.x","City.x","Post Code.x","Latitude.x","Longitude.x","Lab Contact.x","Species.x","Serological Group.x","Serotype.x","EcoR Cluster.x","Path/Nonpath.x","Simple Patho.x","Comment.x","Simple Disease.x","Bio Project ID.x","Project ID.x","Disease.x","Sample ID.x","Secondary Sample ID.x","Date Entered.x","Release Date.x","Differences","ST","ST Complex","Lineage","Subspecies","adk","fumC","gyrB","icd","mdh","purA","recA","is_common_ST","is_common_country","is_bovine","is_swine","is_poultry","is_human","is_human2","is_dog","is_water","is_concerned_host","Name.y","Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status).y","Source Niche.y","Source Type.y","Source Details.y","Collection Year.y","Collection Month.y","Collection Day.y","Collection Time.y","Continent.y","Country.y","Region.y","District.y","City.y","Post Code.y","Latitude.y","Longitude.y","Lab Contact.y","Species.y","Serological Group.y","Serotype.y","EcoR Cluster.y","Path/Nonpath.y","Simple Patho.y","Simple Disease.y","Comment.y","Bio Project ID.y","Project ID.y","Disease.y","Sample ID.y","Secondary Sample ID.y","Date Entered.y","Release Date.y","Barcode.y","Status","Coverage","N50","Length","Contig Number(>=200 bp)","Low Quality Bases","Assembly barcode","Version"
"ESC_CA7358AA","32_United States",58,203,9,0,0,7,"FSIS1502978","ESC_CA7358AA","SRR3185253;ILLUMINA;Paired;500;SRX1598481;SRA","Livestock","Swine","Product-Raw-Ground, Comminuted or Otherwise Nonintact-Pork",2015,NA,NA,"","North America","United States","Ohio","","","",NA,NA,"United States Department of Agriculture, Food Safety and Inspection Service","Escherichia coli","","O145","","","","","","PRJNA268206","SRP050539","","SAMN04510516","SRS1308459",2016-02-24,2016-02-24,NA,32,"ST32 Cplx","ABD",NA,19,23,18,24,21,2,16,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","FSIS1502978","SRR3185253;ILLUMINA;Paired;500;SRX1598481;SRA","Livestock","Swine","Product-Raw-Ground, Comminuted or Otherwise Nonintact-Pork",2015,NA,NA,NA,"North America","United States","Ohio","","",NA,NA,NA,"United States Department of Agriculture, Food Safety and Inspection Service","Escherichia coli","","O145",NA,"","",NA,"","PRJNA268206","SRP050539",NA,"SAMN04510516","SRS1308459",2016-02-24,2016-02-24,"ESC_CA7358AA","Assembled",86,156596,5365764,217,13050,"ESC_GA2554AA_AS",3.32
"ESC_CA6734AA","32_United States",58,203,9,0,0,7,"FSIS1502554","ESC_CA6734AA","SRR3175217;ILLUMINA;Paired;500;SRX1589724;SRA","Livestock","Swine","Product-Raw-Intact-Pork",2015,NA,NA,"","North America","United States","Illinois","","","",NA,NA,"United States Department of Agriculture, Food Safety and Inspection Service","Escherichia coli","","O145","","","","","","PRJNA268206","SRP050539","","SAMN04497385","SRS1299375",2016-02-18,2016-02-17,NA,32,"ST32 Cplx","ABD",NA,19,23,18,24,21,2,16,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","FSIS1502554","SRR3175217;ILLUMINA;Paired;500;SRX1589724;SRA","Livestock","Swine","Product-Raw-Intact-Pork",2015,NA,NA,NA,"North America","United States","Illinois","","",NA,NA,NA,"United States Department of Agriculture, Food Safety and Inspection Service","Escherichia coli","","O145",NA,"","",NA,"","PRJNA268206","SRP050539",NA,"SAMN04497385","SRS1299375",2016-02-18,2016-02-17,"ESC_CA6734AA","Assembled",104,156412,5365647,197,9651,"ESC_GA1521AA_AS",3.32
"ESC_CA7362AA","32_United States",58,203,9,0,0,7,"FSIS1502535","ESC_CA7362AA","SRR3185246;ILLUMINA;Paired;500;SRX1598475;SRA","Livestock","Swine","Product-Raw-Intact-Pork",2015,NA,NA,"","North America","United States","Pennsylvania","","","",NA,NA,"United States Department of Agriculture, Food Safety and Inspection Service","Escherichia coli","","O145","","","","","","PRJNA268206","SRP050539","","SAMN04510513","SRS1308453",2016-02-24,2016-02-24,NA,32,"ST32 Cplx","ABD",NA,19,23,18,24,21,2,16,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","FSIS1502535","SRR3185246;ILLUMINA;Paired;500;SRX1598475;SRA","Livestock","Swine","Product-Raw-Intact-Pork",2015,NA,NA,NA,"North America","United States","Pennsylvania","","",NA,NA,NA,"United States Department of Agriculture, Food Safety and Inspection Service","Escherichia coli","","O145",NA,"","",NA,"","PRJNA268206","SRP050539",NA,"SAMN04510513","SRS1308453",2016-02-24,2016-02-24,"ESC_CA7362AA","Assembled",93,167757,5363243,206,9911,"ESC_GA2550AA_AS",3.32
"ESC_GB6358AA","32_United States",58,203,9,0,0,7,"EC-Pig-WI53706PPY40317","ESC_GB6358AA","SRR25748324;ILLUMINA;Paired;;SRX21471629;SRA","Livestock","Swine","pig; Lung",2021,11,8,"","North America","United States","Wisconsin","","","",NA,NA,"USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories - DBPL","Escherichia coli","","","","","","","","PRJNA510384","SRP256141","","SAMN37127793","SRS18705985",2023-08-24,2023-08-23,NA,32,"ST32 Cplx","ABD",NA,19,23,18,24,21,2,16,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","EC-Pig-WI53706PPY40317","SRR25748324;ILLUMINA;Paired;;SRX21471629;SRA","Livestock","Swine","pig; Lung",2021,11,8,NA,"North America","United States","Wisconsin","","",NA,NA,NA,"USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories - DBPL","Escherichia coli","","",NA,"","",NA,"","PRJNA510384","SRP256141",NA,"SAMN37127793","SRS18705985",2023-08-24,2023-08-23,"ESC_GB6358AA","Assembled",88.3,72155,5376765,348,24948,"ESC_LC1322AA_AS",5.1
"ESC_CA6733AA","32_United States",58,203,9,0,0,7,"FSIS1502976","ESC_CA6733AA","SRR3175218;ILLUMINA;Paired;500;SRX1589725;SRA","Livestock","Swine","Product-Raw-Ground, Comminuted or Otherwise Nonintact-Pork",2015,NA,NA,"","North America","United States","Wisconsin","","","",NA,NA,"United States Department of Agriculture, Food Safety and Inspection Service","Escherichia coli","","O145","","","","","","PRJNA268206","SRP050539","","SAMN04497386","SRS1299374",2016-02-18,2016-02-17,NA,32,"ST32 Cplx","ABD",NA,19,23,18,24,21,2,16,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","FSIS1502976","SRR3175218;ILLUMINA;Paired;500;SRX1589725;SRA","Livestock","Swine","Product-Raw-Ground, Comminuted or Otherwise Nonintact-Pork",2015,NA,NA,NA,"North America","United States","Wisconsin","","",NA,NA,NA,"United States Department of Agriculture, Food Safety and Inspection Service","Escherichia coli","","O145",NA,"","",NA,"","PRJNA268206","SRP050539",NA,"SAMN04497386","SRS1299374",2016-02-18,2016-02-17,"ESC_CA6733AA","Assembled",121,168012,5278683,211,9779,"ESC_GA1520AA_AS",3.32
"ESC_CB7914AA","32_United States",58,203,9,0,0,7,"RM8877","ESC_CB7914AA","SRR22483924;ILLUMINA;Paired;500;SRX18449107;SRA","Environment","Water/River","environmental-water; water",2009,NA,NA,"","North America","United States","California","","","",NA,NA,"FDA","Escherichia coli","","","","","","","","PRJNA677988","SRP323105","","SAMN31972582","SRS15930244",2022-12-02,2022-12-01,NA,32,"ST32 Cplx","ABD",NA,19,23,18,24,21,2,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"yes","RM8877","SRR22483924;ILLUMINA;Paired;500;SRX18449107;SRA","Environment","Water/River","environmental-water; water",2009,NA,NA,NA,"North America","United States","California","","",NA,NA,NA,"FDA","Escherichia coli","","",NA,"","",NA,"","PRJNA677988","SRP323105",NA,"SAMN31972582","SRS15930244",2022-12-02,2022-12-01,"ESC_CB7914AA","Assembled",165,163588,5286817,238,63495,"ESC_GC9537AA_AS",4.1
"ESC_DB6415AA","32_United States",58,203,9,0,0,7,"RM11406","ESC_DB6415AA","SRR23352311;ILLUMINA;Paired;500;SRX19293792;SRA,SRR24257852;ILLUMINA;Paired;500;SRX20053734;SRA","Environment","Water/River","environmental-water; water",2010,NA,NA,"","North America","United States","California","","","",NA,NA,"FDA","Escherichia coli","","","","","","","","PRJNA677988","SRP323105","","SAMN33142247","SRS16694782",2023-02-07,2023-02-06,NA,32,"ST32 Cplx","ABD",NA,19,23,18,24,21,2,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"yes","RM11406","SRR23352311;ILLUMINA;Paired;500;SRX19293792;SRA,SRR24257852;ILLUMINA;Paired;500;SRX20053734;SRA","Environment","Water/River","environmental-water; water",2010,NA,NA,NA,"North America","United States","California","","",NA,NA,NA,"FDA","Escherichia coli","","",NA,"","",NA,"","PRJNA677988","SRP323105",NA,"SAMN33142247","SRS16694782",2023-02-07,2023-02-06,"ESC_DB6415AA","Assembled",47,158513,5281672,248,6054,"ESC_HC9819AA_AS",5
"ESC_EB1035AA","32_United States",58,203,9,0,0,7,"RM12367","ESC_EB1035AA","SRR23914202;ILLUMINA;Paired;500;SRX19725673;SRA","Environment","Water/River","environmental-water; water",2010,NA,NA,"","North America","United States","California","","","",NA,NA,"FDA","Escherichia coli","","","","","","","","PRJNA677988","SRP323105","","SAMN33827287","SRS17105817",2023-03-22,2023-03-21,NA,32,"ST32 Cplx","ABD",NA,19,23,18,24,21,2,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"yes","RM12367","SRR23914202;ILLUMINA;Paired;500;SRX19725673;SRA","Environment","Water/River","environmental-water; water",2010,NA,NA,NA,"North America","United States","California","","",NA,NA,NA,"FDA","Escherichia coli","","",NA,"","",NA,"","PRJNA677988","SRP323105",NA,"SAMN33827287","SRS17105817",2023-03-22,2023-03-21,"ESC_EB1035AA","Assembled",228,186830,5290535,261,2354,"ESC_IC5366AA_AS",5.1
"ESC_CB7907AA","32_United States",58,203,9,0,0,7,"RM9070","ESC_CB7907AA","SRR22484231;ILLUMINA;Paired;500;SRX18449406;SRA","Environment","Water/River","environmental-water; water",2009,NA,NA,"","North America","United States","California","","","",NA,NA,"FDA","Escherichia coli","","","","","","","","PRJNA677988","SRP323105","","SAMN31972692","SRS15930270",2022-12-02,2022-12-01,NA,32,"ST32 Cplx","ABD",NA,19,23,18,24,21,2,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"yes","RM9070","SRR22484231;ILLUMINA;Paired;500;SRX18449406;SRA","Environment","Water/River","environmental-water; water",2009,NA,NA,NA,"North America","United States","California","","",NA,NA,NA,"FDA","Escherichia coli","","",NA,"","",NA,"","PRJNA677988","SRP323105",NA,"SAMN31972692","SRS15930270",2022-12-02,2022-12-01,"ESC_CB7907AA","Assembled",114,199220,5286026,252,42349,"ESC_GC9530AA_AS",4.1
"ESC_CB7916AA","32_United States",58,203,9,0,0,7,"RM8876","ESC_CB7916AA","SRR22483921;ILLUMINA;Paired;500;SRX18449104;SRA","Environment","Water/River","environmental-water; water",2009,NA,NA,"","North America","United States","California","","","",NA,NA,"FDA","Escherichia coli","","","","","","","","PRJNA677988","SRP323105","","SAMN31972586","SRS15930242",2022-12-02,2022-12-01,NA,32,"ST32 Cplx","ABD",NA,19,23,18,24,21,2,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"yes","RM8876","SRR22483921;ILLUMINA;Paired;500;SRX18449104;SRA","Environment","Water/River","environmental-water; water",2009,NA,NA,NA,"North America","United States","California","","",NA,NA,NA,"FDA","Escherichia coli","","",NA,"","",NA,"","PRJNA677988","SRP323105",NA,"SAMN31972586","SRS15930242",2022-12-02,2022-12-01,"ESC_CB7916AA","Assembled",398,158553,5288303,250,55082,"ESC_GC9539AA_AS",4.1
