Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Comment	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Assembly barcode	Version
ESC_BA9242AA	KOEGE 40 (102a)	SRR785701;ILLUMINA;Paired;180;SRX251381;NEW,SRR958502;ILLUMINA;Paired;5000;SRX340483;NEW,SRR958503;ILLUMINA;Paired;5000;SRX340483;NEW,SRR785700;ILLUMINA;Paired;180;SRX251381;NEW	Human	Human	urine; Homo sapiens	2006				Europe	Denmark							Broad Institute	Escherichia coli								PRJNA186261	SRP019629		SAMN01885871	SRS402257	2015-08-27	2013-08-28	ESC_BA9242AA	Assembled	0	92901	4670517	Escherichia coli / Shigella;100.0%	135	3981	ESC_BA9606AA_AS	2.2
ESC_BA9313AA	HVH 154 (4-5636698)	SRR770119;ILLUMINA;Paired;180;SRX247793;NEW,SRR958292;ILLUMINA;Paired;5000;SRX340343;NEW,SRR958291;ILLUMINA;Paired;5000;SRX340343;NEW,SRR786434;ILLUMINA;Paired;180;SRX251939;NEW	Human	Human	blood; Homo sapiens	2004				Europe	Denmark							Broad Institute	Escherichia coli								PRJNA186186	SRP019118		SAMN01885799	SRS399666	2015-08-27	2013-08-28	ESC_BA9313AA	Assembled	83.1	78039	4784703	Escherichia coli / Shigella;98.95%	198	6478	ESC_BA5104AA_AS	2.2
ESC_BA9315AA	HVH 152 (4-3447545)	SRR958288;ILLUMINA;Paired;5000;SRX340341;NEW,SRR958287;ILLUMINA;Paired;5000;SRX340341;NEW,SRR784222;ILLUMINA;Paired;180;SRX251117;NEW,SRR770116;ILLUMINA;Paired;180;SRX247790;NEW	Human	Human	blood; Homo sapiens	2004				Europe	Denmark							Broad Institute	Escherichia coli								PRJNA186184	SRP019116		SAMN01885797	SRS399663	2015-08-27	2013-08-28	ESC_BA9315AA	Assembled	81.96	105339	4872206	Escherichia coli / Shigella;100.0%	159	1850	ESC_CA5549AA_AS	2.2
ESC_BA9492AA	29519	ERR273759;ILLUMINA;Paired;208;ERX248035;NEW																THE SANGER CENTER	Escherichia coli								PRJEB2879	ERP001213		SAMEA1888886	ERS202110	2015-08-27	2013-05-27	ESC_BA9492AA	Assembled	44.71	92893	4800795	Escherichia coli / Shigella;100.0%	136	3273	ESC_BA7022AA_AS	2.2
ESC_CA0292AA	93	ERR135817;ILLUMINA;Paired;239;ERX111835;NEW																THE SANGER CENTER	Escherichia coli								PRJEB2879	ERP001213		SAMEA1324846	ERS094480	2015-08-27	2012-08-04	ESC_CA0292AA	Assembled	112.39	97428	4904340	Escherichia coli / Shigella;100.0%	255	3284	ESC_BA7178AA_AS	2.2
ESC_CA0431AA	E 662	ERR119422;ILLUMINA;Paired;237;ERX095694;NEW			feces; Homo sapiens					North America								THE SANGER CENTER	Escherichia coli								PRJEB2796	ERP001074		SAMEA1317752	ERS077618	2015-08-27	2012-05-18	ESC_CA0431AA	Assembled	0	135823	4697864	Escherichia coli / Shigella;100.0%	112	1601	ESC_BA8752AA_AS	2.2
ESC_CA1210AA	BL21Φ25859 T1	ERR163875;ILLUMINA;Paired;200;ERX139752;NEW																THE SANGER CENTER	Escherichia coli								PRJEB2879	ERP001213		SAMEA1486284	ERS136695	2015-08-27	2012-08-28	ESC_CA1210AA	Assembled	197.12	115043	4527285	Escherichia coli / Shigella;100.0%	94	1716	ESC_BA8271AA_AS	2.2
ESC_CA1591AA	MS 187-1	SRR088915;ILLUMINA;Paired;260;SRX036776;NEW	Human	Human	terrestrial biome [ENVO:00000446]; human-associated habitat [ENVO:00009003]; biological product [ENVO:02000043]; gastrointestinal_tract; Homo sapiens													The Genome Institute at Washington University School of Medicine	Escherichia coli								PRJNA47269	SRP005002		SAMN00189176	SRS150858	2015-08-27	2011-01-29	ESC_CA1591AA	Assembled	0	39415	4410149	Escherichia coli / Shigella;100.0%	210	2868	ESC_BA4328AA_AS	2.2
ESC_CA3237AA	PNUSAE001158	SRR2480653;ILLUMINA;Paired;;SRX1272288;NEW			Age: 20-29; stool					North America	United States							EDLB-CDC	Escherichia coli								PRJNA218110	SRP046387		SAMN04099957	SRS1079378	2015-10-23	2015-09-21	ESC_CA3237AA	Assembled	78.5	129363	4785174	Escherichia coli / Shigella;100.0%	105	6900	ESC_FA6003AA_AS	2.2
ESC_CA3531AA	VREC0595	ERR1100508;ILLUMINA;Paired;500;ERX1180042;NEW			feces; Meleagris gallopavo					Europe								SC	Escherichia coli								PRJEB8774	ERP009810		SAMEA3753077	ERS784368	2015-10-29	2015-10-28	ESC_CA3531AA	Assembled	137.36	93798	5185150	Escherichia coli / Shigella;93.33%	240	2904	ESC_FA6653AA_AS	2.2
ESC_CA3830AA	AA040	ERR1010229;ILLUMINA;Paired;354;ERX1089253;NEW	Human	Human	Homo sapiens	1993				Europe	Macedonia (FYROM)							STATENS SERUM INSTITUT	Escherichia coli		O11:K-:H52						PRJEB10700	ERP011986		SAMEA3529316	ERS836465	2015-11-04	2015-11-03	ESC_CA3830AA	Assembled	88.43	209450	4762086	Escherichia coli / Shigella;100.0%	101	3510	ESC_FA6853AA_AS	2.2
ESC_CA4615AA	FSIS 210133202	SRR2970164;ILLUMINA;Paired;;SRX1459391;SRA	Livestock	Swine	animal-swine-market swine	2014	3	7		North America	United States	California						FDA	Escherichia coli								PRJNA292667	SRP066916		SAMN04293308	SRS1186947	2015-12-12	2015-12-03	ESC_CA4615AA	Assembled	76	97815	4954997	Escherichia coli / Shigella;98.66%	186	3827	ESC_FA8044AA_AS	3.32
ESC_CA4907AA	SAP680	ERR1163331;ILLUMINA;Paired;250;ERX1236738;SRA																USURR	Escherichia coli								PRJEB11876	ERP013295		SAMEA3697231	ERS1004380	2015-12-22	2015-12-06	ESC_CA4907AA	Assembled	57	102430	4874131	Escherichia coli / Shigella;89.83%	161	5721	ESC_FA8341AA_AS	3.32
ESC_CA5270AA	W1-3-ERB1	ERR1218709;ILLUMINA;Paired;493;ERX1290922;SRA			Canal; Environmental					Asia								SC	Escherichia coli								PRJEB11403	ERP012787		SAMEA3531793	ERS838942	2016-01-20	2016-01-20	ESC_CA5270AA	Assembled	144	93750	4854587	Escherichia coli / Shigella;95.09%	134	1790	ESC_FA9863AA_AS	3.32
ESC_CA5415AA	W1-3-ERB2	ERR1218548;ILLUMINA;Paired;471;ERX1290761;SRA																SC	Escherichia coli								PRJEB11403	ERP012787		SAMEA3531751	ERS838900	2016-01-20	2016-01-20	ESC_CA5415AA	Assembled	133	90096	5046789	Escherichia coli / Shigella;91.38%	188	2356	ESC_GA0008AA_AS	3.32
ESC_CA5665AA	A-291185	ERR1157036;ILLUMINA;Paired;700;ERX1230443;SRA																The Roslin Institute	Escherichia coli								PRJEB11956	ERP013386		SAMEA3682651	ERS989800	2016-02-01	2016-02-01	ESC_CA5665AA	Assembled	38	118090	4893473	Escherichia coli / Shigella;98.95%	118	4902	ESC_GA0265AA_AS	3.32
ESC_CA5669AA	A-281185	ERR1157032;ILLUMINA;Paired;700;ERX1230439;SRA																The Roslin Institute	Escherichia coli								PRJEB11956	ERP013386		SAMEA3682647	ERS989796	2016-02-01	2016-02-01	ESC_CA5669AA	Assembled	61	118113	4896684	Escherichia coli / Shigella;98.91%	116	2846	ESC_GA0269AA_AS	3.32
ESC_CA8496AA	REL606	GCF_000017985;Complete Genome;;;;Complete Genome																NCBI	Escherichia coli								PRJNA18281			SAMN02603421		2016-03-29	2009-07-15	ESC_CA8496AA	Assembled	1	4629812	4629812		1	0	ESC_GA4009AA_AS	NaN
ESC_CA8994AA	C3029	GCF_001559635;Complete Genome;;;;Complete Genome	Laboratory	Laboratory	laboratory					North America	United States							New England Biolabs	Escherichia coli								PRJNA224116			SAMN04435508		2016-03-30	2016-02-12	ESC_CA8994AA	Assembled	1	4569185	4569185		1	0	ESC_GA4673AA_AS	NaN
ESC_CA8995AA	C2566	GCF_001559615;Complete Genome;;;;Complete Genome	Laboratory	Laboratory	laboratory					North America	United States							New England Biolabs	Escherichia coli								PRJNA224116			SAMN04435507		2016-03-30	2016-02-12	ESC_CA8995AA	Assembled	1	4478948	4478948		1	0	ESC_GA4674AA_AS	NaN
ESC_CA9051AA	C43(DE3)	GCF_001039415;Complete Genome;;;;Complete Genome,SRR2052522;ILLUMINA;Single;;SRX1049947;SRA,SRR2052575;LS454;Single;;SRX1049982;SRA				2009				Asia	South Korea							Yonsei University	Escherichia coli								PRJNA224116			SAMN03761398	SRS954174	2016-03-30	2015-06-25	ESC_CA9051AA	Assembled	1	4501450	4501450		1	0	ESC_GA4740AA_AS	NaN
ESC_CA9078AA	C41(DE3)	GCF_000830035;Complete Genome;;;;Complete Genome				2009				Europe	Sweden							Stockholm University	Escherichia coli								PRJNA224116			SAMN03292179		2016-03-30	2015-01-29	ESC_CA9078AA	Assembled	1	4557511	4557511		1	0	ESC_GA4771AA_AS	NaN
ESC_CA9227AA	28760	GCF_001596115;Complete Genome;;;;Complete Genome	Environment	Plant	lichen	2015	1											Korea Polar Research Institute	Escherichia coli							Was Shigella Sp. PAMC 28760	PRJNA224116			SAMN04548868		2016-03-31	2016-03-22	ESC_CA9227AA	Assembled	1	4558287	4558287		1	0	ESC_GA4926AA_AS	NaN
ESC_DA0140AA	NCTC10537	GCA_900636305;Complete Genome;;;;Complete Genome,GCF_900636305;Complete Genome;;;;Complete Genome,GCA_900636305;Complete Genome;;;;Complete Genome,ERR1070158;PACBIO_SMRT;Single;;ERX1150308;SRA,ERS799809;Curator;;;;Complete Genome			not available: to be reported later	1967												Public Health England	Escherichia coli								PRJEB6403	ERP005928		SAMEA3492660	ERS799809	2016-04-20	2016-04-20	ESC_DA0140AA	Assembled	1	4603981	4603981		1	0	ESC_VA5229AA_AS	NaN
ESC_DA0928AA	MOD1-EC6228	SRR3438312;ILLUMINA;Paired;500;SRX1725563;SRA	Wild Animal	Primate	feces	1986	4	23		North America	United States	Florida						FDA Center for Food Safety and Applied Nutrition	Escherichia coli		O6:H8						PRJNA230969	SRP058582		SAMN04881305	SRS1411191	2016-04-25	2015-01-01	ESC_DA0928AA	Assembled	49	66176	4657040	Escherichia coli / Shigella;98.09%	222	13682	ESC_GA6663AA_AS	3.41
ESC_DA3640AA	BL21-DE3	SRR3587384;ILLUMINA;Paired;;SRX1800012;SRA				2014	8			North America								Broad Institute/MIT	Escherichia coli								PRJNA295070	SRP064633		SAMN05172633	SRS1467196	2016-06-30	2016-05-30	ESC_DA3640AA	Assembled	203	118530	4480589	Escherichia coli / Shigella;100.0%	97	933	ESC_HA7198AA_AS	3.41
ESC_DA5403AA	HICF74	SRR3050895;ILLUMINA;Paired;;SRX1499457;SRA	Human	Human	Homo sapiens; blood	2009	7	19		Europe	United Kingdom	England	Oxfordshire	Oxford		51.75	-1.26	University of Oxford	Escherichia coli								PRJNA306133	SRP067738		SAMN04357546	SRS1221352	2016-07-01	2016-01-05	ESC_DA5403AA	Assembled	92	106175	4693082	Escherichia coli / Shigella;84.89%	123	1924	ESC_HA5029AA_AS	3.41
ESC_DA6568AA	SAMPLE_WTCHG_207707_292	ERR1055922;ILLUMINA;Paired;300;ERX1136237;SRA																UNIVERSITY OF OXFORD	Escherichia coli								PRJEB11358	ERP012736		SAMEA3597846	ERS904995	2016-07-01	2015-10-27	ESC_DA6568AA	Assembled	74	93213	4898785	Escherichia coli / Shigella;92.94%	129	2839	ESC_HA4722AA_AS	3.41
ESC_DA6683AA	REL11340	SRR2589067;ILLUMINA;Paired;;SRX1317438;SRA,SRR2584928;ILLUMINA;Paired;;SRX1317438;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096126	SRS1108348	2016-07-01	2016-01-14	ESC_DA6683AA	Assembled	117	96084	4501646	Escherichia coli / Shigella;100.0%	122	1168	ESC_HA4596AA_AS	3.41
ESC_DA6686AA	REL10405	SRR2584908;ILLUMINA;Paired;;SRX1317435;SRA,SRR2589066;ILLUMINA;Paired;;SRX1317435;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096124	SRS1108335	2016-07-01	2016-01-14	ESC_DA6686AA	Assembled	100	105304	4502121	Escherichia coli / Shigella;100.0%	112	1523	ESC_HA4593AA_AS	3.41
ESC_DA6687AA	REL10404	SRR2584907;ILLUMINA;Paired;;SRX1317434;SRA,SRR2589065;ILLUMINA;Paired;;SRX1317434;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096123	SRS1108336	2016-07-01	2016-01-14	ESC_DA6687AA	Assembled	74	78460	4475573	Escherichia coli / Shigella;100.0%	133	1987	ESC_HA4591AA_AS	3.41
ESC_DA6696AA	REL11331	SRR2591047;ILLUMINA;Paired;;SRX1317425;SRA,SRR2584898;ILLUMINA;Paired;;SRX1317425;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096052	SRS1108329	2016-07-01	2016-01-14	ESC_DA6696AA	Assembled	98	115084	4522561	Escherichia coli / Shigella;100.0%	105	1309	ESC_HA4575AA_AS	3.41
ESC_DA6705AA	REL11337	SRR2589053;ILLUMINA;Paired;;SRX1317416;SRA,SRR2584889;ILLUMINA;Paired;;SRX1317416;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096106	SRS1108319	2016-07-01	2016-01-14	ESC_DA6705AA	Assembled	86	199216	4402934	Escherichia coli / Shigella;100.0%	54	2279	ESC_HA4557AA_AS	3.41
ESC_DA6709AA	REL10402	SRR2584885;ILLUMINA;Paired;;SRX1317412;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096103	SRS1108323	2016-07-01	2016-01-14	ESC_DA6709AA	Assembled	79	128676	4430221	Escherichia coli / Shigella;98.46%	77	2762	ESC_HA4556AA_AS	3.41
ESC_DA6710AA	REL10401	SRR2584884;ILLUMINA;Paired;;SRX1317411;SRA,SRR2589052;ILLUMINA;Paired;;SRX1317411;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096102	SRS1108324	2016-07-01	2016-01-14	ESC_DA6710AA	Assembled	106	131526	4472092	Escherichia coli / Shigella;98.43%	83	2014	ESC_HA4555AA_AS	3.41
ESC_DA6711AA	REL8596B	SRR2584883;ILLUMINA;Paired;;SRX1317410;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096101	SRS1108309	2016-07-01	2016-01-14	ESC_DA6711AA	Assembled	75	131526	4500554	Escherichia coli / Shigella;100.0%	77	2657	ESC_HA4554AA_AS	3.41
ESC_DA6712AA	REL8596A	SRR2584882;ILLUMINA;Paired;;SRX1317409;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096100	SRS1108310	2016-07-01	2016-01-14	ESC_DA6712AA	Assembled	111	131637	4503368	Escherichia coli / Shigella;100.0%	86	1413	ESC_HA4553AA_AS	3.41
ESC_DA6713AA	REL7180B	SRR2589051;ILLUMINA;Paired;;SRX1317408;SRA,SRR2584881;ILLUMINA;Paired;;SRX1317408;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096099	SRS1108311	2016-07-01	2016-01-14	ESC_DA6713AA	Assembled	54	140287	4494576	Escherichia coli / Shigella;100.0%	71	3271	ESC_HA4552AA_AS	3.41
ESC_DA6714AA	REL7180A	SRR2591045;ILLUMINA;Paired;;SRX1317407;SRA,SRR2584880;ILLUMINA;Paired;;SRX1317407;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096098	SRS1108312	2016-07-01	2016-01-14	ESC_DA6714AA	Assembled	42	140277	4499756	Escherichia coli / Shigella;100.0%	79	4417	ESC_HA4549AA_AS	3.41
ESC_DA6715AA	REL4539B	SRR2584879;ILLUMINA;Paired;;SRX1317406;SRA,SRR2589050;ILLUMINA;Paired;;SRX1317406;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096097	SRS1108313	2016-07-01	2016-01-14	ESC_DA6715AA	Assembled	65	286304	4553247	Escherichia coli / Shigella;100.0%	59	2989	ESC_HA4548AA_AS	3.41
ESC_DA6716AA	REL4539A	SRR2584878;ILLUMINA;Paired;;SRX1317405;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096096	SRS1108314	2016-07-01	2016-01-14	ESC_DA6716AA	Assembled	116	240496	4578448	Escherichia coli / Shigella;100.0%	70	2019	ESC_HA4546AA_AS	3.41
ESC_DA6728AA	REL11365	SRR2584866;ILLUMINA;Paired;;SRX1317393;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096085	SRS1108301	2016-07-01	2016-01-14	ESC_DA6728AA	Assembled	176	83866	4257878	Escherichia coli / Shigella;100.0%	101	1940	ESC_HA4529AA_AS	3.41
ESC_DA6763AA	REL7178B	SRR2584830;ILLUMINA;Paired;;SRX1317357;SRA,SRR2588998;ILLUMINA;Paired;;SRX1317357;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096066	SRS1108269	2016-07-01	2016-01-14	ESC_DA6763AA	Assembled	51	127820	4532989	Escherichia coli / Shigella;100.0%	82	2963	ESC_HA4503AA_AS	3.41
ESC_DA6771AA	REL11368	SRR2584822;ILLUMINA;Paired;;SRX1317349;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096247	SRS1108258	2016-07-01	2016-01-14	ESC_DA6771AA	Assembled	100	105303	4489609	Escherichia coli / Shigella;100.0%	119	1764	ESC_HA4502AA_AS	3.41
ESC_DA6774AA	REL7178A	SRR2588997;ILLUMINA;Paired;;SRX1317346;SRA,SRR2584819;ILLUMINA;Paired;;SRX1317346;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096065	SRS1108221	2016-07-01	2016-01-14	ESC_DA6774AA	Assembled	57	193680	4532940	Escherichia coli / Shigella;100.0%	83	3564	ESC_HA4501AA_AS	3.41
ESC_DA6786AA	REL4537B	SRR2584783;ILLUMINA;Paired;;SRX1317311;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096064	SRS1108214	2016-07-01	2016-01-14	ESC_DA6786AA	Assembled	37	116107	4529759	Escherichia coli / Shigella;100.0%	81	5111	ESC_HA4497AA_AS	3.41
ESC_DA6794AA	REL11349	SRR2591040;ILLUMINA;Paired;;SRX1317302;SRA,SRR2584775;ILLUMINA;Paired;;SRX1317302;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096227	SRS1108209	2016-07-01	2016-01-14	ESC_DA6794AA	Assembled	108	127444	4478530	Escherichia coli / Shigella;100.0%	109	1616	ESC_HA4495AA_AS	3.41
ESC_DA6796AA	REL10415	SRR2584716;ILLUMINA;Paired;;SRX1317243;SRA,SRR2588995;ILLUMINA;Paired;;SRX1317243;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096225	SRS1108143	2016-07-01	2016-01-14	ESC_DA6796AA	Assembled	108	127744	4492374	Escherichia coli / Shigella;100.0%	104	1715	ESC_HA4494AA_AS	3.41
ESC_DA6797AA	REL4537A	SRR2584715;ILLUMINA;Paired;;SRX1317242;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096063	SRS1108144	2016-07-01	2016-01-14	ESC_DA6797AA	Assembled	44	127820	4538082	Escherichia coli / Shigella;100.0%	85	4748	ESC_HA4492AA_AS	3.41
ESC_DA6798AA	REL10414	SRR2584714;ILLUMINA;Paired;;SRX1317241;SRA,SRR2588994;ILLUMINA;Paired;;SRX1317241;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096224	SRS1108146	2016-07-01	2016-01-14	ESC_DA6798AA	Assembled	98	127444	4485090	Escherichia coli / Shigella;100.0%	105	1896	ESC_HA4491AA_AS	3.41
ESC_DA6799AA	REL8603B	SRR2591039;ILLUMINA;Paired;;SRX1317240;SRA,SRR2584713;ILLUMINA;Paired;;SRX1317240;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096223	SRS1108145	2016-07-01	2016-01-14	ESC_DA6799AA	Assembled	122	127444	4517553	Escherichia coli / Shigella;100.0%	99	1268	ESC_HA4488AA_AS	3.41
ESC_DA6800AA	REL8603A	SRR2584712;ILLUMINA;Paired;;SRX1317239;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096222	SRS1108147	2016-07-01	2016-01-14	ESC_DA6800AA	Assembled	101	115910	4475553	Escherichia coli / Shigella;100.0%	102	1509	ESC_HA4487AA_AS	3.41
ESC_DA6802AA	REL7186A	SRR2584710;ILLUMINA;Paired;;SRX1317237;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096220	SRS1108134	2016-07-01	2016-01-14	ESC_DA6802AA	Assembled	80	127444	4523015	Escherichia coli / Shigella;100.0%	100	1667	ESC_HA4484AA_AS	3.41
ESC_DA6804AA	REL4533A	SRR2584708;ILLUMINA;Paired;;SRX1317235;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096218	SRS1108136	2016-07-01	2016-01-14	ESC_DA6804AA	Assembled	80	127440	4546217	Escherichia coli / Shigella;100.0%	102	1746	ESC_HA4481AA_AS	3.41
ESC_DA6817AA	REL11346	SRR2591038;ILLUMINA;Paired;;SRX1317222;SRA,SRR2584695;ILLUMINA;Paired;;SRX1317222;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096206	SRS1108127	2016-07-01	2016-01-14	ESC_DA6817AA	Assembled	184	105458	4494495	Escherichia coli / Shigella;100.0%	108	3292	ESC_HA4465AA_AS	3.41
ESC_DA6820AA	REL10411	SRR2584686;ILLUMINA;Paired;;SRX1317219;SRA,SRR2588848;ILLUMINA;Paired;;SRX1317219;SRA																The University of Texas at Austin	Escherichia coli								PRJNA295606	SRP064605		SAMN04096204	SRS1108120	2016-07-01	2016-01-14	ESC_DA6820AA	Assembled	77	193473	4500496	Escherichia coli / Shigella;100.0%	67	2946	ESC_HA4462AA_AS	3.41
